,exp,edu,scale,avgsalary,lnsalary,city,type,industry
26,无工作经验,本科,50-150人,6.25,1.8325814637483104,其他,民营公司,计算机服务(系统、数据服务、维修)
27,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
28,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
29,5-7年经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务
30,2年经验,大专,500-1000人,8.0,2.079441541679836,广州,民营公司,其他
31,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
32,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
33,5-7年经验,本科,1000-5000人,17.5,2.862200880929469,广州,民营公司,服装/纺织/皮革
34,1年经验,大专,500-1000人,10.5,2.3513752571634776,其他,民营公司,计算机软件
35,无工作经验,大专,150-500人,5.25,1.6582280766035324,合肥,民营公司,计算机软件
36,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
37,2年经验,本科,5000-10000人,15.0,2.7080502011022096,北京,上市公司,教育/培训/院校
38,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,广州,民营公司,其他
39,2年经验,本科,1000-5000人,10.0,2.302585092994046,深圳,民营公司,其他
40,1年经验,大专,1000-5000人,7.0,1.9459101490553128,深圳,民营公司,其他
41,2年经验,大专,少于50人,7.0,1.9459101490553128,其他,民营公司,互联网/电子商务
42,2年经验,大专,50-150人,12.5,2.525728644308256,深圳,民营公司,互联网/电子商务
43,3-4年经验,本科,少于50人,11.5,2.4423470353692043,广州,民营公司,计算机软件
44,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
45,无工作经验,本科,1000-5000人,6.0,1.791759469228055,其他,民营公司,其他
46,2年经验,本科,150-500人,13.5,2.602689685444384,上海,上市公司,互联网/电子商务
47,1年经验,本科,150-500人,18.0,2.8903717578961645,上海,民营公司,其他
48,无工作经验,大专,150-500人,5.75,1.749199854809259,广州,民营公司,其他
49,3-4年经验,本科,10000人以上,19.583333333333336,2.9746788643561586,广州,国企,多元化业务集团公司
50,2年经验,大专,50-150人,7.5,2.0149030205422647,其他,民营公司,互联网/电子商务
51,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
52,无工作经验,大专,50-150人,5.25,1.6582280766035324,其他,民营公司,其他
53,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,成都,民营公司,教育/培训/院校
54,2年经验,本科,1000-5000人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务
55,1年经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,其他
56,1年经验,硕士,50-150人,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务
57,无工作经验,无学历要求,150-500人,5.0,1.6094379124341005,上海,民营公司,其他
58,3-4年经验,大专,50-150人,15.0,2.7080502011022096,上海,民营公司,计算机软件
59,1年经验,硕士,少于50人,7.0,1.9459101490553128,其他,民营公司,其他
60,3-4年经验,大专,500-1000人,6.5,1.8718021769015916,其他,上市公司,其他
61,5-7年经验,本科,50-150人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务
62,2年经验,大专,少于50人,10.0,2.302585092994046,深圳,创业公司,计算机软件
63,3-4年经验,本科,50-150人,10.5,2.3513752571634776,西安,民营公司,计算机软件
64,无工作经验,中专,150-500人,7.0,1.9459101490553128,北京,合资,金融/投资/证券
65,无工作经验,中专,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
66,无工作经验,无学历要求,150-500人,20.0,2.9957322735539913,上海,民营公司,多元化业务集团公司
67,2年经验,本科,50-150人,12.5,2.525728644308256,南京,民营公司,计算机软件
68,3-4年经验,本科,50-150人,12.5,2.525728644308256,深圳,民营公司,计算机服务(系统、数据服务、维修)
69,1年经验,大专,50-150人,7.0,1.9459101490553128,上海,民营公司,其他
70,无工作经验,大专,50-150人,5.25,1.6582280766035324,其他,民营公司,计算机软件
71,1年经验,本科,10000人以上,12.5,2.525728644308256,深圳,民营公司,通信/电信运营、增值服务
72,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
73,无工作经验,大专,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券
74,无工作经验,无学历要求,50-150人,10.416666666666668,2.3434070875143007,北京,民营公司,金融/投资/证券
75,无工作经验,高中,150-500人,6.5,1.8718021769015916,广州,民营公司,金融/投资/证券
76,2年经验,大专,150-500人,5.0,1.6094379124341005,其他,民营公司,互联网/电子商务
77,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,上海,民营公司,计算机软件
78,2年经验,本科,50-150人,12.5,2.525728644308256,其他,民营公司,计算机软件
79,2年经验,本科,10000人以上,22.5,3.1135153092103742,北京,民营公司,互联网/电子商务
80,1年经验,无学历要求,50-150人,6.5,1.8718021769015916,上海,民营公司,其他
81,无工作经验,本科,1000-5000人,10.0,2.302585092994046,广州,民营公司,教育/培训/院校
82,1年经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
83,2年经验,硕士,少于50人,18.5,2.917770732084279,上海,民营公司,其他
84,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
85,无工作经验,本科,50-150人,7.0,1.9459101490553128,广州,上市公司,专业服务(咨询、人力资源、财会)
86,2年经验,大专,50-150人,8.0,2.079441541679836,广州,外资企业,互联网/电子商务
87,3-4年经验,本科,150-500人,13.5,2.602689685444384,广州,民营公司,计算机软件
88,无工作经验,大专,150-500人,5.25,1.6582280766035324,其他,民营公司,其他
89,3-4年经验,本科,50-150人,12.5,2.525728644308256,上海,民营公司,互联网/电子商务
90,无工作经验,本科,1000-5000人,5.0,1.6094379124341005,其他,民营公司,其他
91,无工作经验,大专,150-500人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券
92,3-4年经验,本科,50-150人,7.25,1.9810014688665836,杭州,民营公司,专业服务(咨询、人力资源、财会)
93,3-4年经验,本科,少于50人,11.5,2.4423470353692043,上海,民营公司,专业服务(咨询、人力资源、财会)
94,3-4年经验,大专,500-1000人,7.0,1.9459101490553128,武汉,外资企业,互联网/电子商务
95,无工作经验,硕士,少于50人,6.5,1.8718021769015916,成都,民营公司,其他
96,3-4年经验,本科,150-500人,13.5,2.602689685444384,广州,外资企业,互联网/电子商务
97,3-4年经验,本科,少于50人,11.5,2.4423470353692043,北京,民营公司,专业服务(咨询、人力资源、财会)
98,3-4年经验,大专,150-500人,15.0,2.7080502011022096,广州,民营公司,服装/纺织/皮革
99,2年经验,本科,少于50人,7.0,1.9459101490553128,其他,民营公司,专业服务(咨询、人力资源、财会)
100,1年经验,本科,10000人以上,11.5,2.4423470353692043,深圳,民营公司,金融/投资/证券
101,1年经验,大专,50-150人,7.5,2.0149030205422647,其他,民营公司,专业服务(咨询、人力资源、财会)
102,3-4年经验,大专,50-150人,7.5,2.0149030205422647,广州,民营公司,其他
103,1年经验,大专,500-1000人,5.25,1.6582280766035324,广州,民营公司,互联网/电子商务
104,无工作经验,本科,1000-5000人,4.5,1.5040773967762742,其他,民营公司,其他
105,无工作经验,大专,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
106,无工作经验,高中,50-150人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券
107,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
108,2年经验,本科,150-500人,15.0,2.7080502011022096,北京,民营公司,计算机软件
109,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,武汉,民营公司,计算机软件
110,无工作经验,大专,150-500人,7.0,1.9459101490553128,其他,民营公司,教育/培训/院校
111,1年经验,本科,150-500人,6.0,1.791759469228055,上海,民营公司,计算机软件
112,无工作经验,本科,50-150人,15.0,2.7080502011022096,深圳,民营公司,其他
113,无工作经验,无学历要求,150-500人,10.0,2.302585092994046,广州,上市公司,计算机软件
114,1年经验,本科,少于50人,8.0,2.079441541679836,深圳,民营公司,计算机软件
115,1年经验,本科,50-150人,6.5,1.8718021769015916,杭州,民营公司,互联网/电子商务
116,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,其他,民营公司,互联网/电子商务
117,无工作经验,大专,50-150人,6.5,1.8718021769015916,其他,民营公司,计算机软件
118,3-4年经验,本科,1000-5000人,17.5,2.862200880929469,上海,民营公司,金融/投资/证券
119,无工作经验,本科,50-150人,4.55,1.5151272329628591,成都,国企,专业服务(咨询、人力资源、财会)
120,5-7年经验,本科,500-1000人,22.5,3.1135153092103742,深圳,外资企业,互联网/电子商务
121,1年经验,硕士,少于50人,15.0,2.7080502011022096,北京,民营公司,金融/投资/证券
122,无工作经验,高中,150-500人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券
123,2年经验,本科,1000-5000人,15.0,2.7080502011022096,杭州,民营公司,互联网/电子商务
124,2年经验,本科,500-1000人,8.0,2.079441541679836,西安,国企,计算机软件
125,1年经验,本科,500-1000人,11.5,2.4423470353692043,南京,民营公司,互联网/电子商务
126,3-4年经验,本科,少于50人,8.0,2.079441541679836,其他,民营公司,其他
127,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
128,2年经验,本科,10000人以上,10.0,2.302585092994046,上海,外资企业,其他
129,3-4年经验,本科,150-500人,13.0,2.5649493574615367,其他,民营公司,计算机软件
130,2年经验,本科,10000人以上,9.0,2.19722457733622,上海,合资,其他
131,3-4年经验,本科,500-1000人,20.0,2.9957322735539913,广州,民营公司,互联网/电子商务
132,2年经验,本科,1000-5000人,15.0,2.7080502011022096,广州,国企,其他
133,3-4年经验,本科,1000-5000人,11.5,2.4423470353692043,广州,民营公司,计算机软件
134,无工作经验,无学历要求,500-1000人,9.0,2.19722457733622,上海,合资,服装/纺织/皮革
135,无工作经验,无学历要求,少于50人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
136,2年经验,本科,50-150人,5.0,1.6094379124341005,成都,民营公司,其他
137,3-4年经验,本科,50-150人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务
138,无工作经验,大专,50-150人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券
139,无工作经验,本科,50-150人,17.5,2.862200880929469,上海,民营公司,金融/投资/证券
140,无工作经验,无学历要求,少于50人,5.25,1.6582280766035324,上海,国企,互联网/电子商务
141,无工作经验,无学历要求,1000-5000人,8.5,2.1400661634962708,其他,民营公司,互联网/电子商务
142,2年经验,高中,500-1000人,11.0,2.3978952727983707,广州,民营公司,服装/纺织/皮革
143,无工作经验,无学历要求,50-150人,4.0,1.3862943611198906,其他,民营公司,其他
144,无工作经验,本科,150-500人,7.0,1.9459101490553128,合肥,国企,计算机软件
145,2年经验,大专,10000人以上,10.0,2.302585092994046,其他,民营公司,多元化业务集团公司
146,无工作经验,本科,少于50人,20.833333333333336,3.036554268074246,上海,民营公司,其他
147,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,上海,民营公司,专业服务(咨询、人力资源、财会)
148,2年经验,大专,150-500人,10.0,2.302585092994046,广州,外资企业,快速消费品(食品、饮料、化妆品)
149,无工作经验,大专,500-1000人,9.0,2.19722457733622,北京,合资,金融/投资/证券
150,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,外资企业,金融/投资/证券
151,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
152,1年经验,本科,10000人以上,5.25,1.6582280766035324,其他,民营公司,互联网/电子商务
153,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,北京,合资,金融/投资/证券
154,无工作经验,中技,500-1000人,12.0,2.4849066497880004,北京,合资,金融/投资/证券
155,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券
156,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,民营公司,教育/培训/院校
157,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
158,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
159,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,北京,合资,金融/投资/证券
160,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,广州,民营公司,教育/培训/院校
161,无工作经验,无学历要求,500-1000人,9.0,2.19722457733622,其他,民营公司,金融/投资/证券
162,1年经验,本科,少于50人,6.0,1.791759469228055,广州,民营公司,专业服务(咨询、人力资源、财会)
163,3-4年经验,大专,1000-5000人,9.0,2.19722457733622,武汉,民营公司,金融/投资/证券
164,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,其他
165,3-4年经验,本科,150-500人,16.5,2.8033603809065353,成都,上市公司,计算机软件
166,无工作经验,大专,50-150人,7.0,1.9459101490553128,成都,民营公司,金融/投资/证券
167,3-4年经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务
168,无工作经验,本科,50-150人,13.5,2.602689685444384,其他,民营公司,互联网/电子商务
170,1年经验,大专,150-500人,7.5,2.0149030205422647,上海,民营公司,其他
171,无工作经验,无学历要求,少于50人,22.5,3.1135153092103742,北京,民营公司,计算机软件
172,10年以上经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,其他
173,3-4年经验,无学历要求,500-1000人,7.0,1.9459101490553128,广州,上市公司,其他
174,5-7年经验,本科,1000-5000人,9.0,2.19722457733622,其他,国企,其他
175,1年经验,大专,150-500人,8.0,2.079441541679836,深圳,民营公司,互联网/电子商务
176,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
177,无工作经验,高中,50-150人,9.0,2.19722457733622,广州,民营公司,互联网/电子商务
178,2年经验,大专,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
179,2年经验,本科,500-1000人,14.5,2.6741486494265287,上海,上市公司,互联网/电子商务
180,无工作经验,大专,少于50人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券
181,无工作经验,本科,50-150人,11.5,2.4423470353692043,广州,民营公司,互联网/电子商务
182,无工作经验,本科,150-500人,6.0,1.791759469228055,其他,民营公司,互联网/电子商务
183,无工作经验,本科,1000-5000人,14.0,2.6390573296152584,上海,合资,专业服务(咨询、人力资源、财会)
184,无工作经验,无学历要求,50-150人,20.0,2.9957322735539913,广州,民营公司,计算机软件
185,3-4年经验,本科,5000-10000人,30.0,3.4011973816621555,北京,民营公司,快速消费品(食品、饮料、化妆品)
186,5-7年经验,本科,50-150人,22.5,3.1135153092103742,上海,外资企业,计算机软件
187,3-4年经验,本科,500-1000人,15.0,2.7080502011022096,广州,民营公司,互联网/电子商务
188,5-7年经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,其他
189,1年经验,本科,150-500人,10.0,2.302585092994046,上海,上市公司,其他
191,3-4年经验,本科,1000-5000人,12.5,2.525728644308256,上海,民营公司,快速消费品(食品、饮料、化妆品)
192,无工作经验,无学历要求,10000人以上,9.0,2.19722457733622,其他,民营公司,其他
193,无工作经验,高中,150-500人,10.5,2.3513752571634776,广州,民营公司,金融/投资/证券
194,无工作经验,无学历要求,10000人以上,6.25,1.8325814637483104,其他,民营公司,其他
195,2年经验,本科,500-1000人,10.0,2.302585092994046,广州,民营公司,互联网/电子商务
196,无工作经验,硕士,150-500人,6.5,1.8718021769015916,成都,合资,教育/培训/院校
197,2年经验,本科,500-1000人,12.5,2.525728644308256,深圳,民营公司,互联网/电子商务
198,无工作经验,本科,500-1000人,5.0,1.6094379124341005,广州,外资企业,多元化业务集团公司
199,无工作经验,本科,500-1000人,12.5,2.525728644308256,上海,外资企业,通信/电信运营、增值服务
200,5-7年经验,本科,少于50人,17.5,2.862200880929469,深圳,民营公司,互联网/电子商务
201,2年经验,本科,150-500人,10.0,2.302585092994046,上海,民营公司,其他
202,1年经验,大专,50-150人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
203,5-7年经验,本科,150-500人,22.5,3.1135153092103742,其他,民营公司,通信/电信运营、增值服务
204,无工作经验,本科,10000人以上,14.5,2.6741486494265287,其他,外资企业,其他
205,无工作经验,本科,少于50人,25.0,3.218875824868201,北京,民营公司,专业服务(咨询、人力资源、财会)
206,1年经验,大专,50-150人,10.0,2.302585092994046,上海,民营公司,服装/纺织/皮革
207,无工作经验,无学历要求,150-500人,22.5,3.1135153092103742,上海,合资,计算机服务(系统、数据服务、维修)
208,2年经验,本科,150-500人,12.5,2.525728644308256,深圳,民营公司,其他
209,无工作经验,大专,150-500人,5.0,1.6094379124341005,其他,民营公司,其他
210,无工作经验,无学历要求,少于50人,5.25,1.6582280766035324,上海,民营公司,计算机服务(系统、数据服务、维修)
211,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,外资企业,金融/投资/证券
212,无工作经验,大专,150-500人,17.5,2.862200880929469,广州,民营公司,金融/投资/证券
213,3-4年经验,本科,150-500人,17.5,2.862200880929469,杭州,民营公司,计算机服务(系统、数据服务、维修)
214,2年经验,本科,150-500人,12.5,2.525728644308256,上海,民营公司,计算机软件
215,2年经验,本科,150-500人,12.0,2.4849066497880004,北京,民营公司,专业服务(咨询、人力资源、财会)
216,无工作经验,硕士,500-1000人,7.5,2.0149030205422647,南京,民营公司,其他
217,5-7年经验,本科,500-1000人,25.0,3.218875824868201,成都,外资企业,计算机软件
218,1年经验,本科,150-500人,7.0,1.9459101490553128,其他,民营公司,互联网/电子商务
219,无工作经验,大专,150-500人,5.6,1.7227665977411035,其他,民营公司,其他
220,5-7年经验,本科,5000-10000人,20.0,2.9957322735539913,深圳,民营公司,其他
221,3-4年经验,大专,50-150人,8.0,2.079441541679836,其他,民营公司,互联网/电子商务
222,无工作经验,无学历要求,500-1000人,5.25,1.6582280766035324,武汉,民营公司,其他
223,1年经验,大专,150-500人,7.0,1.9459101490553128,南京,民营公司,互联网/电子商务
224,无工作经验,本科,1000-5000人,18.0,2.8903717578961645,广州,民营公司,互联网/电子商务
225,3-4年经验,大专,1000-5000人,22.5,3.1135153092103742,上海,民营公司,互联网/电子商务
226,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
227,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,其他,民营公司,其他
228,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券
229,5-7年经验,本科,1000-5000人,37.5,3.624340932976365,上海,外资企业,其他
230,3-4年经验,本科,50-150人,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务
231,无工作经验,大专,150-500人,5.75,1.749199854809259,其他,民营公司,计算机软件
232,无工作经验,硕士,5000-10000人,6.5,1.8718021769015916,其他,民营公司,其他
233,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券
234,无工作经验,本科,500-1000人,8.0,2.079441541679836,其他,合资,其他
235,无工作经验,本科,500-1000人,11.0,2.3978952727983707,广州,民营公司,互联网/电子商务
236,2年经验,大专,少于50人,8.0,2.079441541679836,上海,民营公司,专业服务(咨询、人力资源、财会)
237,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券
238,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
239,1年经验,本科,150-500人,5.0,1.6094379124341005,其他,民营公司,通信/电信运营、增值服务
240,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
241,1年经验,大专,150-500人,6.0,1.791759469228055,其他,民营公司,计算机软件
242,2年经验,无学历要求,150-500人,10.5,2.3513752571634776,上海,上市公司,计算机软件
243,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券
244,3-4年经验,本科,150-500人,7.0,1.9459101490553128,其他,上市公司,其他
245,无工作经验,无学历要求,1000-5000人,12.5,2.525728644308256,广州,合资,教育/培训/院校
246,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,上海,民营公司,其他
247,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
248,无工作经验,本科,少于50人,6.0,1.791759469228055,杭州,民营公司,互联网/电子商务
249,无工作经验,无学历要求,150-500人,30.0,3.4011973816621555,上海,合资,专业服务(咨询、人力资源、财会)
250,3-4年经验,本科,50-150人,11.5,2.4423470353692043,合肥,民营公司,计算机服务(系统、数据服务、维修)
251,2年经验,本科,150-500人,15.0,2.7080502011022096,上海,合资,互联网/电子商务
252,3-4年经验,本科,150-500人,10.0,2.302585092994046,杭州,国企,计算机软件
253,1年经验,大专,150-500人,5.25,1.6582280766035324,广州,外资企业,快速消费品(食品、饮料、化妆品)
254,1年经验,大专,500-1000人,9.0,2.19722457733622,南京,民营公司,金融/投资/证券
255,无工作经验,本科,50-150人,5.5,1.7047480922384253,上海,外资企业,专业服务(咨询、人力资源、财会)
256,2年经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,教育/培训/院校
257,1年经验,无学历要求,50-150人,4.0,1.3862943611198906,其他,民营公司,计算机软件
258,2年经验,本科,150-500人,11.5,2.4423470353692043,北京,民营公司,计算机服务(系统、数据服务、维修)
259,2年经验,本科,50-150人,12.5,2.525728644308256,上海,民营公司,其他
260,3-4年经验,本科,150-500人,12.5,2.525728644308256,杭州,外资企业,专业服务(咨询、人力资源、财会)
261,1年经验,大专,500-1000人,5.25,1.6582280766035324,广州,民营公司,快速消费品(食品、饮料、化妆品)
262,3-4年经验,大专,10000人以上,8.5,2.1400661634962708,合肥,民营公司,互联网/电子商务
263,1年经验,本科,1000-5000人,6.0,1.791759469228055,武汉,上市公司,教育/培训/院校
264,3-4年经验,本科,50-150人,14.0,2.6390573296152584,上海,民营公司,计算机软件
265,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,其他,民营公司,其他
266,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
267,2年经验,本科,1000-5000人,6.5,1.8718021769015916,其他,民营公司,其他
268,1年经验,本科,少于50人,9.0,2.19722457733622,其他,民营公司,计算机软件
269,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
270,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券
271,2年经验,本科,150-500人,10.5,2.3513752571634776,上海,民营公司,互联网/电子商务
272,无工作经验,高中,少于50人,9.0,2.19722457733622,其他,合资,金融/投资/证券
273,无工作经验,本科,1000-5000人,6.5,1.8718021769015916,合肥,民营公司,互联网/电子商务
274,无工作经验,无学历要求,少于50人,10.5,2.3513752571634776,北京,民营公司,专业服务(咨询、人力资源、财会)
275,1年经验,本科,500-1000人,7.0,1.9459101490553128,上海,合资,快速消费品(食品、饮料、化妆品)
276,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券
277,2年经验,本科,50-150人,9.0,2.19722457733622,合肥,民营公司,教育/培训/院校
278,5-7年经验,本科,50-150人,20.0,2.9957322735539913,深圳,民营公司,计算机软件
279,5-7年经验,本科,10000人以上,22.5,3.1135153092103742,上海,上市公司,其他
280,1年经验,大专,少于50人,6.5,1.8718021769015916,其他,民营公司,互联网/电子商务
281,无工作经验,无学历要求,150-500人,12.5,2.525728644308256,其他,民营公司,金融/投资/证券
282,1年经验,无学历要求,500-1000人,12.5,2.525728644308256,上海,民营公司,互联网/电子商务
283,2年经验,本科,50-150人,17.5,2.862200880929469,其他,合资,专业服务(咨询、人力资源、财会)
284,3-4年经验,本科,10000人以上,15.0,2.7080502011022096,其他,民营公司,其他
285,1年经验,大专,10000人以上,7.0,1.9459101490553128,杭州,民营公司,互联网/电子商务
286,无工作经验,硕士,50-150人,11.5,2.4423470353692043,杭州,民营公司,互联网/电子商务
287,1年经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券
288,1年经验,本科,150-500人,9.0,2.19722457733622,其他,民营公司,金融/投资/证券
289,3-4年经验,本科,50-150人,20.0,2.9957322735539913,武汉,民营公司,互联网/电子商务
290,2年经验,本科,150-500人,17.5,2.862200880929469,上海,民营公司,金融/投资/证券
291,无工作经验,无学历要求,500-1000人,14.0,2.6390573296152584,其他,国企,计算机服务(系统、数据服务、维修)
292,无工作经验,无学历要求,150-500人,3.75,1.3217558399823195,广州,民营公司,其他
293,1年经验,本科,150-500人,8.0,2.079441541679836,广州,外资企业,快速消费品(食品、饮料、化妆品)
294,1年经验,大专,150-500人,5.75,1.749199854809259,广州,民营公司,互联网/电子商务
295,无工作经验,大专,1000-5000人,3.75,1.3217558399823195,其他,外资企业,其他
296,无工作经验,博士,50-150人,20.0,2.9957322735539913,上海,民营公司,专业服务(咨询、人力资源、财会)
297,无工作经验,本科,50-150人,20.0,2.9957322735539913,深圳,民营公司,金融/投资/证券
298,无工作经验,大专,少于50人,27.5,3.3141860046725258,上海,合资,专业服务(咨询、人力资源、财会)
299,3-4年经验,本科,150-500人,8.0,2.079441541679836,其他,民营公司,计算机软件
300,1年经验,本科,150-500人,6.5,1.8718021769015916,上海,民营公司,计算机软件
301,无工作经验,无学历要求,500-1000人,6.5,1.8718021769015916,上海,民营公司,其他
302,1年经验,大专,50-150人,6.0,1.791759469228055,其他,民营公司,计算机软件
303,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,合资,金融/投资/证券
304,2年经验,本科,500-1000人,11.5,2.4423470353692043,其他,民营公司,其他
