,exp,edu,scale,avgsalary,lnsalary,city,type,industry,indu1
67,3-4年经验,本科,50-150人,12.5,2.525728644308256,深圳,民营公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
68,1年经验,大专,50-150人,7.0,1.9459101490553128,上海,民营公司,其他,其他
69,无工作经验,大专,50-150人,5.25,1.6582280766035324,其他,民营公司,计算机软件,计算机软件
70,1年经验,本科,10000人以上,12.5,2.525728644308256,深圳,民营公司,通信/电信运营、增值服务,其他
71,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
72,无工作经验,大专,50-150人,9.0,2.19722457733622,深圳,民营公司,金融/投资/证券,金融/投资/证券
73,无工作经验,无学历要求,50-150人,10.416666666666668,2.3434070875143007,北京,民营公司,金融/投资/证券,金融/投资/证券
74,无工作经验,高中,150-500人,6.5,1.8718021769015916,广州,民营公司,金融/投资/证券,金融/投资/证券
75,2年经验,大专,150-500人,5.0,1.6094379124341005,其他,民营公司,互联网/电子商务,互联网/电子商务
76,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,上海,民营公司,计算机软件,计算机软件
77,2年经验,本科,50-150人,12.5,2.525728644308256,其他,民营公司,计算机软件,计算机软件
78,2年经验,本科,10000人以上,22.5,3.1135153092103742,北京,民营公司,互联网/电子商务,互联网/电子商务
79,1年经验,无学历要求,50-150人,6.5,1.8718021769015916,上海,民营公司,其他,其他
80,无工作经验,本科,1000-5000人,10.0,2.302585092994046,广州,民营公司,教育/培训/院校,其他
81,1年经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
82,2年经验,硕士,少于50人,18.5,2.917770732084279,上海,民营公司,其他,其他
83,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
84,无工作经验,本科,50-150人,7.0,1.9459101490553128,广州,上市公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
85,2年经验,大专,50-150人,8.0,2.079441541679836,广州,外资企业,互联网/电子商务,互联网/电子商务
86,3-4年经验,本科,150-500人,13.5,2.602689685444384,广州,民营公司,计算机软件,计算机软件
87,无工作经验,大专,150-500人,5.25,1.6582280766035324,其他,民营公司,其他,其他
88,3-4年经验,本科,50-150人,12.5,2.525728644308256,上海,民营公司,互联网/电子商务,互联网/电子商务
89,无工作经验,本科,1000-5000人,5.0,1.6094379124341005,其他,民营公司,其他,其他
90,无工作经验,大专,150-500人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券,金融/投资/证券
91,3-4年经验,本科,50-150人,7.25,1.9810014688665836,杭州,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
92,3-4年经验,本科,少于50人,11.5,2.4423470353692043,上海,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
93,3-4年经验,大专,500-1000人,7.0,1.9459101490553128,武汉,外资企业,互联网/电子商务,互联网/电子商务
94,无工作经验,硕士,少于50人,6.5,1.8718021769015916,成都,民营公司,其他,其他
95,3-4年经验,本科,150-500人,13.5,2.602689685444384,广州,外资企业,互联网/电子商务,互联网/电子商务
96,3-4年经验,本科,少于50人,11.5,2.4423470353692043,北京,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
97,3-4年经验,大专,150-500人,15.0,2.7080502011022096,广州,民营公司,服装/纺织/皮革,服装/纺织/皮革
98,2年经验,本科,少于50人,7.0,1.9459101490553128,其他,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
99,1年经验,本科,10000人以上,11.5,2.4423470353692043,深圳,民营公司,金融/投资/证券,金融/投资/证券
100,1年经验,大专,50-150人,7.5,2.0149030205422647,其他,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
101,3-4年经验,大专,50-150人,7.5,2.0149030205422647,广州,民营公司,其他,其他
102,1年经验,大专,500-1000人,5.25,1.6582280766035324,广州,民营公司,互联网/电子商务,互联网/电子商务
103,无工作经验,本科,1000-5000人,4.5,1.5040773967762742,其他,民营公司,其他,其他
104,无工作经验,大专,50-150人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
105,无工作经验,高中,50-150人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券,金融/投资/证券
106,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
107,2年经验,本科,150-500人,15.0,2.7080502011022096,北京,民营公司,计算机软件,计算机软件
108,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,武汉,民营公司,计算机软件,计算机软件
109,无工作经验,大专,150-500人,7.0,1.9459101490553128,其他,民营公司,教育/培训/院校,其他
110,1年经验,本科,150-500人,6.0,1.791759469228055,上海,民营公司,计算机软件,计算机软件
111,无工作经验,本科,50-150人,15.0,2.7080502011022096,深圳,民营公司,其他,其他
112,无工作经验,无学历要求,150-500人,10.0,2.302585092994046,广州,上市公司,计算机软件,计算机软件
113,1年经验,本科,少于50人,8.0,2.079441541679836,深圳,民营公司,计算机软件,计算机软件
114,1年经验,本科,50-150人,6.5,1.8718021769015916,杭州,民营公司,互联网/电子商务,互联网/电子商务
115,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,其他,民营公司,互联网/电子商务,互联网/电子商务
116,无工作经验,大专,50-150人,6.5,1.8718021769015916,其他,民营公司,计算机软件,计算机软件
117,3-4年经验,本科,1000-5000人,17.5,2.862200880929469,上海,民营公司,金融/投资/证券,金融/投资/证券
118,无工作经验,本科,50-150人,4.55,1.5151272329628591,成都,国企,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
119,5年以上工作经验,本科,500-1000人,22.5,3.1135153092103742,深圳,外资企业,互联网/电子商务,互联网/电子商务
120,1年经验,硕士,少于50人,15.0,2.7080502011022096,北京,民营公司,金融/投资/证券,金融/投资/证券
121,无工作经验,高中,150-500人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券,金融/投资/证券
122,2年经验,本科,1000-5000人,15.0,2.7080502011022096,杭州,民营公司,互联网/电子商务,互联网/电子商务
123,2年经验,本科,500-1000人,8.0,2.079441541679836,西安,国企,计算机软件,计算机软件
124,1年经验,本科,500-1000人,11.5,2.4423470353692043,南京,民营公司,互联网/电子商务,互联网/电子商务
125,3-4年经验,本科,少于50人,8.0,2.079441541679836,其他,民营公司,其他,其他
126,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
127,2年经验,本科,10000人以上,10.0,2.302585092994046,上海,外资企业,其他,其他
128,3-4年经验,本科,150-500人,13.0,2.5649493574615367,其他,民营公司,计算机软件,计算机软件
129,2年经验,本科,10000人以上,9.0,2.19722457733622,上海,合资,其他,其他
130,3-4年经验,本科,500-1000人,20.0,2.9957322735539913,广州,民营公司,互联网/电子商务,互联网/电子商务
131,2年经验,本科,1000-5000人,15.0,2.7080502011022096,广州,国企,其他,其他
132,3-4年经验,本科,1000-5000人,11.5,2.4423470353692043,广州,民营公司,计算机软件,计算机软件
133,无工作经验,无学历要求,500-1000人,9.0,2.19722457733622,上海,合资,服装/纺织/皮革,服装/纺织/皮革
134,无工作经验,无学历要求,少于50人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
135,2年经验,本科,50-150人,5.0,1.6094379124341005,成都,民营公司,其他,其他
136,3-4年经验,本科,50-150人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务,互联网/电子商务
137,无工作经验,大专,50-150人,5.25,1.6582280766035324,广州,民营公司,金融/投资/证券,金融/投资/证券
138,无工作经验,本科,50-150人,17.5,2.862200880929469,上海,民营公司,金融/投资/证券,金融/投资/证券
139,无工作经验,无学历要求,少于50人,5.25,1.6582280766035324,上海,国企,互联网/电子商务,互联网/电子商务
140,无工作经验,无学历要求,1000-5000人,8.5,2.1400661634962708,其他,民营公司,互联网/电子商务,互联网/电子商务
141,2年经验,高中,500-1000人,11.0,2.3978952727983707,广州,民营公司,服装/纺织/皮革,服装/纺织/皮革
142,无工作经验,无学历要求,50-150人,4.0,1.3862943611198906,其他,民营公司,其他,其他
143,无工作经验,本科,150-500人,7.0,1.9459101490553128,合肥,国企,计算机软件,计算机软件
144,2年经验,大专,10000人以上,10.0,2.302585092994046,其他,民营公司,多元化业务集团公司,其他
145,无工作经验,本科,少于50人,20.833333333333336,3.036554268074246,上海,民营公司,其他,其他
146,无工作经验,无学历要求,50-150人,7.0,1.9459101490553128,上海,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
147,2年经验,大专,150-500人,10.0,2.302585092994046,广州,外资企业,快速消费品(食品、饮料、化妆品),其他
148,无工作经验,大专,500-1000人,9.0,2.19722457733622,北京,合资,金融/投资/证券,金融/投资/证券
149,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,外资企业,金融/投资/证券,金融/投资/证券
150,无工作经验,高中,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
151,1年经验,本科,10000人以上,5.25,1.6582280766035324,其他,民营公司,互联网/电子商务,互联网/电子商务
152,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,北京,合资,金融/投资/证券,金融/投资/证券
153,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券,金融/投资/证券
154,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,民营公司,教育/培训/院校,其他
155,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
156,1年经验,大专,150-500人,7.0,1.9459101490553128,广州,民营公司,金融/投资/证券,金融/投资/证券
157,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,北京,合资,金融/投资/证券,金融/投资/证券
158,无工作经验,无学历要求,150-500人,5.25,1.6582280766035324,广州,民营公司,教育/培训/院校,其他
159,无工作经验,无学历要求,500-1000人,9.0,2.19722457733622,其他,民营公司,金融/投资/证券,金融/投资/证券
160,1年经验,本科,少于50人,6.0,1.791759469228055,广州,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
161,3-4年经验,大专,1000-5000人,9.0,2.19722457733622,武汉,民营公司,金融/投资/证券,金融/投资/证券
162,无工作经验,大专,50-150人,7.0,1.9459101490553128,其他,民营公司,其他,其他
163,3-4年经验,本科,150-500人,16.5,2.8033603809065353,成都,上市公司,计算机软件,计算机软件
164,无工作经验,大专,50-150人,7.0,1.9459101490553128,成都,民营公司,金融/投资/证券,金融/投资/证券
165,3-4年经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,互联网/电子商务,互联网/电子商务
166,无工作经验,本科,50-150人,13.5,2.602689685444384,其他,民营公司,互联网/电子商务,互联网/电子商务
167,1年经验,大专,150-500人,7.5,2.0149030205422647,上海,民营公司,其他,其他
168,无工作经验,无学历要求,少于50人,22.5,3.1135153092103742,北京,民营公司,计算机软件,计算机软件
169,5年以上工作经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,其他,其他
170,3-4年经验,无学历要求,500-1000人,7.0,1.9459101490553128,广州,上市公司,其他,其他
171,5年以上工作经验,本科,1000-5000人,9.0,2.19722457733622,其他,国企,其他,其他
172,1年经验,大专,150-500人,8.0,2.079441541679836,深圳,民营公司,互联网/电子商务,互联网/电子商务
173,无工作经验,高中,50-150人,7.0,1.9459101490553128,广州,合资,金融/投资/证券,金融/投资/证券
174,无工作经验,高中,50-150人,9.0,2.19722457733622,广州,民营公司,互联网/电子商务,互联网/电子商务
175,2年经验,大专,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
176,2年经验,本科,500-1000人,14.5,2.6741486494265287,上海,上市公司,互联网/电子商务,互联网/电子商务
177,无工作经验,大专,少于50人,7.0,1.9459101490553128,其他,民营公司,金融/投资/证券,金融/投资/证券
178,无工作经验,本科,50-150人,11.5,2.4423470353692043,广州,民营公司,互联网/电子商务,互联网/电子商务
179,无工作经验,本科,150-500人,6.0,1.791759469228055,其他,民营公司,互联网/电子商务,互联网/电子商务
180,无工作经验,本科,1000-5000人,14.0,2.6390573296152584,上海,合资,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
181,无工作经验,无学历要求,50-150人,20.0,2.9957322735539913,广州,民营公司,计算机软件,计算机软件
182,3-4年经验,本科,5000-10000人,30.0,3.4011973816621555,北京,民营公司,快速消费品(食品、饮料、化妆品),其他
183,5年以上工作经验,本科,50-150人,22.5,3.1135153092103742,上海,外资企业,计算机软件,计算机软件
184,3-4年经验,本科,500-1000人,15.0,2.7080502011022096,广州,民营公司,互联网/电子商务,互联网/电子商务
185,5年以上工作经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,其他,其他
186,1年经验,本科,150-500人,10.0,2.302585092994046,上海,上市公司,其他,其他
187,3-4年经验,本科,1000-5000人,12.5,2.525728644308256,上海,民营公司,快速消费品(食品、饮料、化妆品),其他
188,无工作经验,无学历要求,10000人以上,9.0,2.19722457733622,其他,民营公司,其他,其他
189,无工作经验,高中,150-500人,10.5,2.3513752571634776,广州,民营公司,金融/投资/证券,金融/投资/证券
190,无工作经验,无学历要求,10000人以上,6.25,1.8325814637483104,其他,民营公司,其他,其他
191,2年经验,本科,500-1000人,10.0,2.302585092994046,广州,民营公司,互联网/电子商务,互联网/电子商务
192,无工作经验,硕士,150-500人,6.5,1.8718021769015916,成都,合资,教育/培训/院校,其他
193,2年经验,本科,500-1000人,12.5,2.525728644308256,深圳,民营公司,互联网/电子商务,互联网/电子商务
194,无工作经验,本科,500-1000人,5.0,1.6094379124341005,广州,外资企业,多元化业务集团公司,其他
195,无工作经验,本科,500-1000人,12.5,2.525728644308256,上海,外资企业,通信/电信运营、增值服务,其他
196,5年以上工作经验,本科,少于50人,17.5,2.862200880929469,深圳,民营公司,互联网/电子商务,互联网/电子商务
197,2年经验,本科,150-500人,10.0,2.302585092994046,上海,民营公司,其他,其他
198,1年经验,大专,50-150人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
199,5年以上工作经验,本科,150-500人,22.5,3.1135153092103742,其他,民营公司,通信/电信运营、增值服务,其他
200,无工作经验,本科,10000人以上,14.5,2.6741486494265287,其他,外资企业,其他,其他
201,无工作经验,本科,少于50人,25.0,3.218875824868201,北京,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
202,1年经验,大专,50-150人,10.0,2.302585092994046,上海,民营公司,服装/纺织/皮革,服装/纺织/皮革
203,无工作经验,无学历要求,150-500人,22.5,3.1135153092103742,上海,合资,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
204,2年经验,本科,150-500人,12.5,2.525728644308256,深圳,民营公司,其他,其他
205,无工作经验,大专,150-500人,5.0,1.6094379124341005,其他,民营公司,其他,其他
206,无工作经验,无学历要求,少于50人,5.25,1.6582280766035324,上海,民营公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
207,无工作经验,大专,150-500人,7.0,1.9459101490553128,广州,外资企业,金融/投资/证券,金融/投资/证券
208,无工作经验,大专,150-500人,17.5,2.862200880929469,广州,民营公司,金融/投资/证券,金融/投资/证券
209,3-4年经验,本科,150-500人,17.5,2.862200880929469,杭州,民营公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
210,2年经验,本科,150-500人,12.5,2.525728644308256,上海,民营公司,计算机软件,计算机软件
211,2年经验,本科,150-500人,12.0,2.4849066497880004,北京,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
212,无工作经验,硕士,500-1000人,7.5,2.0149030205422647,南京,民营公司,其他,其他
213,5年以上工作经验,本科,500-1000人,25.0,3.218875824868201,成都,外资企业,计算机软件,计算机软件
214,1年经验,本科,150-500人,7.0,1.9459101490553128,其他,民营公司,互联网/电子商务,互联网/电子商务
215,无工作经验,大专,150-500人,5.6,1.7227665977411035,其他,民营公司,其他,其他
216,5年以上工作经验,本科,5000-10000人,20.0,2.9957322735539913,深圳,民营公司,其他,其他
217,3-4年经验,大专,50-150人,8.0,2.079441541679836,其他,民营公司,互联网/电子商务,互联网/电子商务
218,无工作经验,无学历要求,500-1000人,5.25,1.6582280766035324,武汉,民营公司,其他,其他
219,1年经验,大专,150-500人,7.0,1.9459101490553128,南京,民营公司,互联网/电子商务,互联网/电子商务
220,无工作经验,本科,1000-5000人,18.0,2.8903717578961645,广州,民营公司,互联网/电子商务,互联网/电子商务
221,3-4年经验,大专,1000-5000人,22.5,3.1135153092103742,上海,民营公司,互联网/电子商务,互联网/电子商务
222,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
223,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,其他,民营公司,其他,其他
224,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券,金融/投资/证券
225,5年以上工作经验,本科,1000-5000人,37.5,3.624340932976365,上海,外资企业,其他,其他
226,3-4年经验,本科,50-150人,11.5,2.4423470353692043,上海,民营公司,互联网/电子商务,互联网/电子商务
227,无工作经验,大专,150-500人,5.75,1.749199854809259,其他,民营公司,计算机软件,计算机软件
228,无工作经验,硕士,5000-10000人,6.5,1.8718021769015916,其他,民营公司,其他,其他
229,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券,金融/投资/证券
230,无工作经验,本科,500-1000人,8.0,2.079441541679836,其他,合资,其他,其他
231,无工作经验,本科,500-1000人,11.0,2.3978952727983707,广州,民营公司,互联网/电子商务,互联网/电子商务
232,2年经验,大专,少于50人,8.0,2.079441541679836,上海,民营公司,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
233,无工作经验,大专,150-500人,9.0,2.19722457733622,广州,外资企业,金融/投资/证券,金融/投资/证券
234,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
235,1年经验,本科,150-500人,5.0,1.6094379124341005,其他,民营公司,通信/电信运营、增值服务,其他
236,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
237,1年经验,大专,150-500人,6.0,1.791759469228055,其他,民营公司,计算机软件,计算机软件
238,2年经验,无学历要求,150-500人,10.5,2.3513752571634776,上海,上市公司,计算机软件,计算机软件
239,无工作经验,本科,500-1000人,7.5,2.0149030205422647,广州,民营公司,金融/投资/证券,金融/投资/证券
240,3-4年经验,本科,150-500人,7.0,1.9459101490553128,其他,上市公司,其他,其他
241,无工作经验,无学历要求,1000-5000人,12.5,2.525728644308256,广州,合资,教育/培训/院校,其他
242,无工作经验,无学历要求,150-500人,7.0,1.9459101490553128,上海,民营公司,其他,其他
243,无工作经验,无学历要求,150-500人,9.0,2.19722457733622,广州,民营公司,金融/投资/证券,金融/投资/证券
244,无工作经验,本科,少于50人,6.0,1.791759469228055,杭州,民营公司,互联网/电子商务,互联网/电子商务
245,无工作经验,无学历要求,150-500人,30.0,3.4011973816621555,上海,合资,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
246,3-4年经验,本科,50-150人,11.5,2.4423470353692043,合肥,民营公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
247,2年经验,本科,150-500人,15.0,2.7080502011022096,上海,合资,互联网/电子商务,互联网/电子商务
248,3-4年经验,本科,150-500人,10.0,2.302585092994046,杭州,国企,计算机软件,计算机软件
249,1年经验,大专,150-500人,5.25,1.6582280766035324,广州,外资企业,快速消费品(食品、饮料、化妆品),其他
250,1年经验,大专,500-1000人,9.0,2.19722457733622,南京,民营公司,金融/投资/证券,金融/投资/证券
251,无工作经验,本科,50-150人,5.5,1.7047480922384253,上海,外资企业,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
252,2年经验,本科,500-1000人,17.5,2.862200880929469,上海,民营公司,教育/培训/院校,其他
253,1年经验,无学历要求,50-150人,4.0,1.3862943611198906,其他,民营公司,计算机软件,计算机软件
254,2年经验,本科,150-500人,11.5,2.4423470353692043,北京,民营公司,计算机服务(系统、数据服务、维修),计算机服务(系统、数据服务、维修)
255,2年经验,本科,50-150人,12.5,2.525728644308256,上海,民营公司,其他,其他
256,3-4年经验,本科,150-500人,12.5,2.525728644308256,杭州,外资企业,专业服务(咨询、人力资源、财会),专业服务(咨询、人力资源、财会)
257,1年经验,大专,500-1000人,5.25,1.6582280766035324,广州,民营公司,快速消费品(食品、饮料、化妆品),其他
258,3-4年经验,大专,10000人以上,8.5,2.1400661634962708,合肥,民营公司,互联网/电子商务,互联网/电子商务
