,exp,edu,scale,industry,avgsalary,lnsalary,city,type
39,无工作经验,无学历要求,50-150人,贸易/进出口,7.0,1.9459101490553132,广州,民营公司
40,2年经验,本科,1000-5000人,"奢侈品/收藏品/工艺品/珠宝,家具/家电/玩具/礼品",10.0,2.302585092994046,深圳,民营公司
41,1年经验,大专,1000-5000人,医疗/护理/卫生,7.0,1.9459101490553132,深圳,民营公司
42,2年经验,大专,少于50人,"互联网/电子商务,贸易/进出口",7.0,1.9459101490553132,其他,民营公司
43,2年经验,大专,50-150人,"互联网/电子商务,电子技术/半导体/集成电路",12.5,2.5257286443082556,深圳,民营公司
44,3-4年经验,本科,少于50人,"计算机软件,通信/电信运营、增值服务",11.5,2.4423470353692043,广州,民营公司
45,无工作经验,高中,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
46,无工作经验,本科,1000-5000人,"影视/媒体/艺术/文化传播,批发/零售",6.0,1.791759469228055,其他,民营公司
47,2年经验,本科,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",13.5,2.6026896854443837,上海,上市公司
48,1年经验,本科,150-500人,"网络游戏,互联网/电子商务",18.0,2.8903717578961645,上海,民营公司
49,无工作经验,大专,150-500人,"医疗设备/器械,医疗/护理/卫生",5.75,1.749199854809259,广州,民营公司
50,3-4年经验,本科,10000人以上,多元化业务集团公司,19.583333333333336,2.9746788643561586,广州,国企
51,2年经验,大专,50-150人,"互联网/电子商务,贸易/进出口",7.5,2.0149030205422647,其他,民营公司
52,无工作经验,大专,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
53,无工作经验,大专,50-150人,汽车及零配件,5.25,1.6582280766035324,其他,民营公司
54,无工作经验,无学历要求,150-500人,教育/培训/院校,7.0,1.9459101490553132,成都,民营公司
55,2年经验,本科,1000-5000人,互联网/电子商务,17.5,2.8622008809294686,上海,民营公司
56,1年经验,本科,500-1000人,"电子技术/半导体/集成电路,家具/家电/玩具/礼品",7.5,2.0149030205422647,广州,民营公司
57,1年经验,硕士,50-150人,"互联网/电子商务,制药/生物工程",11.5,2.4423470353692043,上海,民营公司
58,无工作经验,无学历要求,150-500人,"网络游戏,互联网/电子商务",5.0,1.6094379124341003,上海,民营公司
59,3-4年经验,大专,50-150人,"计算机软件,互联网/电子商务",15.0,2.70805020110221,上海,民营公司
60,1年经验,硕士,少于50人,"制药/生物工程,学术/科研",7.0,1.9459101490553132,其他,民营公司
61,3-4年经验,大专,500-1000人,房地产,6.5,1.8718021769015913,其他,上市公司
62,5-7年经验,本科,50-150人,互联网/电子商务,17.5,2.8622008809294686,上海,民营公司
63,2年经验,大专,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",10.0,2.302585092994046,深圳,创业公司
64,3-4年经验,本科,50-150人,计算机软件,10.5,2.3513752571634776,西安,民营公司
65,无工作经验,中专,150-500人,"金融/投资/证券,多元化业务集团公司",7.0,1.9459101490553132,北京,合资
66,无工作经验,中专,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553132,广州,合资
67,无工作经验,无学历要求,150-500人,"多元化业务集团公司,计算机软件",20.0,2.995732273553991,上海,民营公司
68,2年经验,本科,50-150人,"计算机软件,电子技术/半导体/集成电路",12.5,2.5257286443082556,南京,民营公司
69,3-4年经验,本科,50-150人,"计算机服务(系统、数据服务、维修),通信/电信运营、增值服务",12.5,2.5257286443082556,深圳,民营公司
70,1年经验,大专,50-150人,"环保,贸易/进出口",7.0,1.9459101490553132,上海,民营公司
71,无工作经验,大专,50-150人,"计算机软件,互联网/电子商务",5.25,1.6582280766035324,其他,民营公司
72,1年经验,本科,10000人以上,"通信/电信运营、增值服务,通信/电信/网络设备",12.5,2.5257286443082556,深圳,民营公司
73,无工作经验,高中,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553132,广州,民营公司
74,无工作经验,大专,50-150人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",9.0,2.1972245773362196,深圳,民营公司
75,无工作经验,无学历要求,50-150人,"金融/投资/证券,多元化业务集团公司",10.416666666666668,2.3434070875143007,北京,民营公司
76,无工作经验,高中,150-500人,金融/投资/证券,6.5,1.8718021769015913,广州,民营公司
77,2年经验,大专,150-500人,互联网/电子商务,5.0,1.6094379124341003,其他,民营公司
78,无工作经验,无学历要求,150-500人,"计算机软件,通信/电信运营、增值服务",7.0,1.9459101490553132,上海,民营公司
79,2年经验,本科,50-150人,计算机软件,12.5,2.5257286443082556,其他,民营公司
80,2年经验,本科,10000人以上,"互联网/电子商务,计算机软件",22.5,3.1135153092103742,北京,民营公司
81,1年经验,无学历要求,50-150人,"贸易/进出口,互联网/电子商务",6.5,1.8718021769015913,上海,民营公司
82,无工作经验,本科,1000-5000人,"教育/培训/院校,互联网/电子商务",10.0,2.302585092994046,广州,民营公司
83,1年经验,无学历要求,150-500人,金融/投资/证券,9.0,2.1972245773362196,广州,民营公司
84,2年经验,硕士,少于50人,"电气/电力/水利,互联网/电子商务",18.5,2.917770732084279,上海,民营公司
85,无工作经验,高中,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
86,无工作经验,本科,50-150人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553132,广州,上市公司
87,2年经验,大专,50-150人,"互联网/电子商务,贸易/进出口",8.0,2.0794415416798357,广州,外资企业
88,3-4年经验,本科,150-500人,"计算机软件,互联网/电子商务",13.5,2.6026896854443837,广州,民营公司
89,无工作经验,大专,150-500人,"批发/零售,生活服务",5.25,1.6582280766035324,其他,民营公司
90,3-4年经验,本科,50-150人,"互联网/电子商务,计算机软件",12.5,2.5257286443082556,上海,民营公司
91,无工作经验,本科,1000-5000人,奢侈品/收藏品/工艺品/珠宝,5.0,1.6094379124341003,其他,民营公司
92,无工作经验,大专,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州,民营公司
93,3-4年经验,本科,50-150人,专业服务(咨询、人力资源、财会),7.25,1.9810014688665833,杭州,民营公司
94,3-4年经验,本科,少于50人,专业服务(咨询、人力资源、财会),11.5,2.4423470353692043,上海,民营公司
95,3-4年经验,大专,500-1000人,"互联网/电子商务,房地产",7.0,1.9459101490553132,武汉,外资企业
96,无工作经验,硕士,少于50人,"制药/生物工程,医疗/护理/卫生",6.5,1.8718021769015913,成都,民营公司
97,3-4年经验,本科,150-500人,"互联网/电子商务,计算机软件",13.5,2.6026896854443837,广州,外资企业
98,3-4年经验,本科,少于50人,"专业服务(咨询、人力资源、财会),金融/投资/证券",11.5,2.4423470353692043,北京,民营公司
99,3-4年经验,大专,150-500人,"服装/纺织/皮革,互联网/电子商务",15.0,2.70805020110221,广州,民营公司
100,2年经验,本科,少于50人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553132,其他,民营公司
101,1年经验,本科,10000人以上,金融/投资/证券,11.5,2.4423470353692043,深圳,民营公司
102,1年经验,大专,50-150人,"专业服务(咨询、人力资源、财会),教育/培训/院校",7.5,2.0149030205422647,其他,民营公司
103,3-4年经验,大专,50-150人,"房地产,酒店/旅游",7.5,2.0149030205422647,广州,民营公司
104,1年经验,大专,500-1000人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",5.25,1.6582280766035324,广州,民营公司
105,无工作经验,本科,1000-5000人,房地产,4.5,1.5040773967762742,其他,民营公司
106,无工作经验,大专,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
107,无工作经验,高中,50-150人,金融/投资/证券,5.25,1.6582280766035324,广州,民营公司
108,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
109,2年经验,本科,150-500人,计算机软件,15.0,2.70805020110221,北京,民营公司
110,无工作经验,无学历要求,150-500人,计算机软件,7.0,1.9459101490553132,武汉,民营公司
111,无工作经验,大专,150-500人,"教育/培训/院校,计算机软件",7.0,1.9459101490553132,其他,民营公司
112,1年经验,本科,150-500人,计算机软件,6.0,1.791759469228055,上海,民营公司
113,无工作经验,本科,50-150人,"电子技术/半导体/集成电路,通信/电信/网络设备",15.0,2.70805020110221,深圳,民营公司
114,无工作经验,无学历要求,150-500人,"计算机软件,银行",10.0,2.302585092994046,广州,上市公司
115,1年经验,本科,少于50人,"计算机软件,互联网/电子商务",8.0,2.0794415416798357,深圳,民营公司
116,1年经验,本科,50-150人,"互联网/电子商务,贸易/进出口",6.5,1.8718021769015913,杭州,民营公司
117,无工作经验,无学历要求,50-150人,互联网/电子商务,7.0,1.9459101490553132,其他,民营公司
118,无工作经验,大专,50-150人,"计算机软件,互联网/电子商务",6.5,1.8718021769015913,其他,民营公司
119,3-4年经验,本科,1000-5000人,"金融/投资/证券,互联网/电子商务",17.5,2.8622008809294686,上海,民营公司
120,无工作经验,本科,50-150人,"专业服务(咨询、人力资源、财会),公关/市场推广/会展",4.55,1.5151272329628591,成都,国企
121,5-7年经验,本科,500-1000人,"互联网/电子商务,金融/投资/证券",22.5,3.1135153092103742,深圳,外资企业
122,1年经验,硕士,少于50人,金融/投资/证券,15.0,2.70805020110221,北京,民营公司
123,无工作经验,高中,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州,民营公司
124,2年经验,本科,1000-5000人,"互联网/电子商务,酒店/旅游",15.0,2.70805020110221,杭州,民营公司
125,2年经验,本科,500-1000人,计算机软件,8.0,2.0794415416798357,西安,国企
126,1年经验,本科,500-1000人,互联网/电子商务,11.5,2.4423470353692043,南京,民营公司
127,3-4年经验,本科,少于50人,"计算机硬件,计算机服务(系统、数据服务、维修)",8.0,2.0794415416798357,其他,民营公司
128,无工作经验,高中,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",7.0,1.9459101490553132,广州,民营公司
129,2年经验,本科,10000人以上,酒店/旅游,10.0,2.302585092994046,上海,外资企业
130,3-4年经验,本科,150-500人,"计算机软件,互联网/电子商务",13.0,2.5649493574615367,其他,民营公司
131,2年经验,本科,10000人以上,"批发/零售,快速消费品(食品、饮料、化妆品)",9.0,2.1972245773362196,上海,合资
132,3-4年经验,本科,500-1000人,"互联网/电子商务,计算机软件",20.0,2.995732273553991,广州,民营公司
133,2年经验,本科,1000-5000人,"银行,金融/投资/证券",15.0,2.70805020110221,广州,国企
134,3-4年经验,本科,1000-5000人,计算机软件,11.5,2.4423470353692043,广州,民营公司
135,无工作经验,无学历要求,500-1000人,"服装/纺织/皮革,批发/零售",9.0,2.1972245773362196,上海,合资
137,无工作经验,无学历要求,少于50人,"金融/投资/证券,互联网/电子商务",9.0,2.1972245773362196,广州,民营公司
138,2年经验,本科,50-150人,"广告,互联网/电子商务",5.0,1.6094379124341003,成都,民营公司
139,3-4年经验,本科,50-150人,"互联网/电子商务,计算机软件",17.5,2.8622008809294686,上海,民营公司
140,无工作经验,大专,50-150人,"金融/投资/证券,计算机服务(系统、数据服务、维修)",5.25,1.6582280766035324,广州,民营公司
141,无工作经验,本科,50-150人,金融/投资/证券,17.5,2.8622008809294686,上海,民营公司
142,无工作经验,无学历要求,少于50人,互联网/电子商务,5.25,1.6582280766035324,上海,国企
143,无工作经验,无学历要求,1000-5000人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",8.5,2.1400661634962708,其他,民营公司
144,2年经验,高中,500-1000人,服装/纺织/皮革,11.0,2.3978952727983707,广州,民营公司
145,无工作经验,无学历要求,50-150人,电气/电力/水利,4.0,1.3862943611198906,其他,民营公司
146,无工作经验,本科,150-500人,计算机软件,7.0,1.9459101490553132,合肥,国企
147,2年经验,大专,10000人以上,"多元化业务集团公司,金融/投资/证券",10.0,2.302585092994046,其他,民营公司
148,无工作经验,本科,少于50人,"仪器仪表/工业自动化,环保",20.833333333333336,3.036554268074246,上海,民营公司
149,无工作经验,无学历要求,50-150人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553132,上海,民营公司
150,2年经验,大专,150-500人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",10.0,2.302585092994046,广州,外资企业
151,无工作经验,大专,500-1000人,金融/投资/证券,9.0,2.1972245773362196,北京,合资
152,无工作经验,大专,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553132,广州,外资企业
153,无工作经验,高中,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
154,1年经验,本科,10000人以上,"互联网/电子商务,房地产",5.25,1.6582280766035324,其他,民营公司
155,无工作经验,无学历要求,150-500人,金融/投资/证券,9.0,2.1972245773362196,北京,合资
156,无工作经验,中技,500-1000人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",12.0,2.4849066497880004,北京,合资
157,无工作经验,大专,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.1972245773362196,广州,外资企业
158,无工作经验,无学历要求,150-500人,教育/培训/院校,7.0,1.9459101490553132,广州,民营公司
159,无工作经验,无学历要求,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
160,1年经验,大专,150-500人,金融/投资/证券,7.0,1.9459101490553132,广州,民营公司
161,无工作经验,无学历要求,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.1972245773362196,北京,合资
162,无工作经验,无学历要求,150-500人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",5.25,1.6582280766035324,广州,民营公司
163,无工作经验,无学历要求,500-1000人,"金融/投资/证券,教育/培训/院校",9.0,2.1972245773362196,其他,民营公司
164,1年经验,本科,少于50人,"专业服务(咨询、人力资源、财会),汽车及零配件",6.0,1.791759469228055,广州,民营公司
165,3-4年经验,大专,1000-5000人,"金融/投资/证券,互联网/电子商务",9.0,2.1972245773362196,武汉,民营公司
166,无工作经验,大专,50-150人,"网络游戏,计算机软件",7.0,1.9459101490553132,其他,民营公司
167,3-4年经验,本科,150-500人,"计算机软件,互联网/电子商务",16.5,2.803360380906535,成都,上市公司
168,无工作经验,大专,50-150人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553132,成都,民营公司
169,3-4年经验,本科,500-1000人,互联网/电子商务,17.5,2.8622008809294686,上海,民营公司
170,无工作经验,本科,50-150人,互联网/电子商务,13.5,2.6026896854443837,其他,民营公司
171,2年经验,本科,,教育/培训/院校,10.0,2.302585092994046,成都,民营公司
172,1年经验,大专,150-500人,"贸易/进出口,快速消费品(食品、饮料、化妆品)",7.5,2.0149030205422647,上海,民营公司
173,无工作经验,无学历要求,少于50人,"计算机软件,专业服务(咨询、人力资源、财会)",22.5,3.1135153092103742,北京,民营公司
174,10年以上经验,本科,500-1000人,"奢侈品/收藏品/工艺品/珠宝,银行",17.5,2.8622008809294686,上海,民营公司
175,3-4年经验,无学历要求,500-1000人,"网络游戏,互联网/电子商务",7.0,1.9459101490553132,广州,上市公司
176,5-7年经验,本科,1000-5000人,汽车及零配件,9.0,2.1972245773362196,其他,国企
177,1年经验,大专,150-500人,互联网/电子商务,8.0,2.0794415416798357,深圳,民营公司
178,无工作经验,高中,50-150人,金融/投资/证券,7.0,1.9459101490553132,广州,合资
180,无工作经验,高中,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",9.0,2.1972245773362196,广州,民营公司
181,2年经验,大专,150-500人,金融/投资/证券,9.0,2.1972245773362196,广州,民营公司
182,2年经验,本科,500-1000人,"互联网/电子商务,广告",14.5,2.6741486494265287,上海,上市公司
183,无工作经验,大专,少于50人,金融/投资/证券,7.0,1.9459101490553132,其他,民营公司
185,无工作经验,本科,50-150人,互联网/电子商务,11.5,2.4423470353692043,广州,民营公司
186,无工作经验,本科,150-500人,互联网/电子商务,6.0,1.791759469228055,其他,民营公司
187,无工作经验,本科,1000-5000人,专业服务(咨询、人力资源、财会),14.0,2.6390573296152584,上海,合资
188,无工作经验,无学历要求,50-150人,"计算机软件,影视/媒体/艺术/文化传播",20.0,2.995732273553991,广州,民营公司
189,3-4年经验,本科,5000-10000人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",30.0,3.4011973816621555,北京,民营公司
190,5-7年经验,本科,50-150人,"计算机软件,保险",22.5,3.1135153092103742,上海,外资企业
191,3-4年经验,本科,500-1000人,"互联网/电子商务,保险",15.0,2.70805020110221,广州,民营公司
192,5-7年经验,本科,500-1000人,贸易/进出口,17.5,2.8622008809294686,上海,民营公司
193,1年经验,本科,150-500人,"网络游戏,计算机服务(系统、数据服务、维修)",10.0,2.302585092994046,上海,上市公司
194,无工作经验,大专,,金融/投资/证券,12.5,2.5257286443082556,深圳,民营公司
195,3-4年经验,本科,1000-5000人,"快速消费品(食品、饮料、化妆品),批发/零售",12.5,2.5257286443082556,上海,民营公司
196,无工作经验,无学历要求,10000人以上,保险,9.0,2.1972245773362196,其他,民营公司
197,无工作经验,高中,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",10.5,2.3513752571634776,广州,民营公司
198,无工作经验,无学历要求,10000人以上,"保险,银行",6.25,1.8325814637483102,其他,民营公司
199,2年经验,本科,500-1000人,互联网/电子商务,10.0,2.302585092994046,广州,民营公司
200,无工作经验,硕士,150-500人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",6.5,1.8718021769015913,成都,合资
201,2年经验,本科,500-1000人,互联网/电子商务,12.5,2.5257286443082556,深圳,民营公司
202,无工作经验,本科,500-1000人,"多元化业务集团公司,专业服务(咨询、人力资源、财会)",5.0,1.6094379124341003,广州,外资企业
203,无工作经验,本科,500-1000人,"通信/电信运营、增值服务,互联网/电子商务",12.5,2.5257286443082556,上海,外资企业
204,5-7年经验,本科,少于50人,"互联网/电子商务,计算机软件",17.5,2.8622008809294686,深圳,民营公司
205,2年经验,本科,150-500人,"网络游戏,计算机软件",10.0,2.302585092994046,上海,民营公司
207,1年经验,大专,50-150人,金融/投资/证券,9.0,2.1972245773362196,广州,民营公司
208,5-7年经验,本科,150-500人,"通信/电信运营、增值服务,互联网/电子商务",22.5,3.1135153092103742,其他,民营公司
209,无工作经验,本科,10000人以上,"酒店/旅游,娱乐/休闲/体育",14.5,2.6741486494265287,其他,外资企业
210,无工作经验,本科,少于50人,专业服务(咨询、人力资源、财会),25.0,3.2188758248682006,北京,民营公司
211,1年经验,大专,50-150人,"服装/纺织/皮革,快速消费品(食品、饮料、化妆品)",10.0,2.302585092994046,上海,民营公司
212,无工作经验,无学历要求,150-500人,"计算机服务(系统、数据服务、维修),互联网/电子商务",22.5,3.1135153092103742,上海,合资
213,2年经验,本科,150-500人,"房地产,互联网/电子商务",12.5,2.5257286443082556,深圳,民营公司
214,无工作经验,大专,150-500人,餐饮业,5.0,1.6094379124341003,其他,民营公司
215,无工作经验,无学历要求,少于50人,计算机服务(系统、数据服务、维修),5.25,1.6582280766035324,上海,民营公司
216,无工作经验,大专,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553132,广州,外资企业
217,无工作经验,大专,150-500人,金融/投资/证券,17.5,2.8622008809294686,广州,民营公司
218,3-4年经验,本科,150-500人,"计算机服务(系统、数据服务、维修),金融/投资/证券",17.5,2.8622008809294686,杭州,民营公司
219,2年经验,本科,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",12.5,2.5257286443082556,上海,民营公司
220,2年经验,本科,150-500人,"专业服务(咨询、人力资源、财会),建筑/建材/工程",12.0,2.4849066497880004,北京,民营公司
221,无工作经验,硕士,500-1000人,"制药/生物工程,学术/科研",7.5,2.0149030205422647,南京,民营公司
222,5-7年经验,本科,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)",25.0,3.2188758248682006,成都,外资企业
223,1年经验,本科,150-500人,互联网/电子商务,7.0,1.9459101490553132,其他,民营公司
224,无工作经验,大专,150-500人,"电子技术/半导体/集成电路,互联网/电子商务",5.6,1.7227665977411035,其他,民营公司
225,5-7年经验,本科,5000-10000人,"批发/零售,互联网/电子商务",20.0,2.995732273553991,深圳,民营公司
226,3-4年经验,大专,50-150人,互联网/电子商务,8.0,2.0794415416798357,其他,民营公司
227,无工作经验,无学历要求,500-1000人,"电子技术/半导体/集成电路,计算机软件",5.25,1.6582280766035324,武汉,民营公司
228,1年经验,大专,150-500人,"互联网/电子商务,批发/零售",7.0,1.9459101490553132,南京,民营公司
229,无工作经验,本科,1000-5000人,互联网/电子商务,18.0,2.8903717578961645,广州,民营公司
230,3-4年经验,大专,1000-5000人,"互联网/电子商务,家居/室内设计/装潢",22.5,3.1135153092103742,上海,民营公司
231,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
232,无工作经验,无学历要求,150-500人,仪器仪表/工业自动化,7.0,1.9459101490553132,其他,民营公司
233,无工作经验,大专,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.1972245773362196,广州,外资企业
234,5-7年经验,本科,1000-5000人,银行,37.5,3.624340932976365,上海,外资企业
235,3-4年经验,本科,50-150人,"互联网/电子商务,汽车及零配件",11.5,2.4423470353692043,上海,民营公司
236,无工作经验,大专,150-500人,"计算机软件,电子技术/半导体/集成电路",5.75,1.749199854809259,其他,民营公司
237,无工作经验,硕士,5000-10000人,汽车及零配件,6.5,1.8718021769015913,其他,民营公司
238,无工作经验,大专,150-500人,"金融/投资/证券,多元化业务集团公司",9.0,2.1972245773362196,广州,外资企业
239,无工作经验,本科,500-1000人,"家具/家电/玩具/礼品,汽车及零配件",8.0,2.0794415416798357,其他,合资
240,无工作经验,本科,500-1000人,"互联网/电子商务,租赁服务",11.0,2.3978952727983707,广州,民营公司
241,2年经验,大专,少于50人,专业服务(咨询、人力资源、财会),8.0,2.0794415416798357,上海,民营公司
242,无工作经验,大专,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.1972245773362196,广州,外资企业
243,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
244,1年经验,本科,150-500人,"通信/电信运营、增值服务,互联网/电子商务",5.0,1.6094379124341003,其他,民营公司
245,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
246,1年经验,大专,150-500人,计算机软件,6.0,1.791759469228055,其他,民营公司
247,2年经验,无学历要求,150-500人,"计算机软件,电气/电力/水利",10.5,2.3513752571634776,上海,上市公司
248,无工作经验,本科,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州,民营公司
249,3-4年经验,本科,150-500人,仪器仪表/工业自动化,7.0,1.9459101490553132,其他,上市公司
250,无工作经验,无学历要求,1000-5000人,教育/培训/院校,12.5,2.5257286443082556,广州,合资
251,无工作经验,无学历要求,150-500人,通信/电信/网络设备,7.0,1.9459101490553132,上海,民营公司
252,无工作经验,无学历要求,150-500人,金融/投资/证券,9.0,2.1972245773362196,广州,民营公司
253,无工作经验,本科,少于50人,互联网/电子商务,6.0,1.791759469228055,杭州,民营公司
254,无工作经验,无学历要求,150-500人,"专业服务(咨询、人力资源、财会),外包服务",30.0,3.4011973816621555,上海,合资
255,3-4年经验,本科,50-150人,计算机服务(系统、数据服务、维修),11.5,2.4423470353692043,合肥,民营公司
256,2年经验,本科,150-500人,"互联网/电子商务,汽车及零配件",15.0,2.70805020110221,上海,合资
257,3-4年经验,本科,150-500人,"计算机软件,互联网/电子商务",10.0,2.302585092994046,杭州,国企
258,1年经验,大专,150-500人,快速消费品(食品、饮料、化妆品),5.25,1.6582280766035324,广州,外资企业
259,1年经验,大专,500-1000人,金融/投资/证券,9.0,2.1972245773362196,南京,民营公司
260,无工作经验,本科,50-150人,"专业服务(咨询、人力资源、财会),快速消费品(食品、饮料、化妆品)",5.5,1.7047480922384253,上海,外资企业
261,2年经验,本科,500-1000人,"教育/培训/院校,计算机软件",17.5,2.8622008809294686,上海,民营公司
262,1年经验,无学历要求,50-150人,"计算机软件,互联网/电子商务",4.0,1.3862943611198906,其他,民营公司
263,2年经验,本科,150-500人,"计算机服务(系统、数据服务、维修),互联网/电子商务",11.5,2.4423470353692043,北京,民营公司
