,exp,edu,type,scale,industry,avgsalary,lnsalary,city
75,无工作经验,高中,民营公司,150-500人,金融/投资/证券,6.5,1.8718021769015916,广州
76,2年经验,大专,民营公司,150-500人,互联网/电子商务,5.0,1.6094379124341005,其他
77,无工作经验,无学历要求,民营公司,150-500人,"计算机软件,通信/电信运营、增值服务",7.0,1.9459101490553128,上海
78,2年经验,本科,民营公司,50-150人,计算机软件,12.5,2.525728644308256,其他
79,2年经验,本科,民营公司,10000人以上,"互联网/电子商务,计算机软件",22.5,3.1135153092103742,北京
80,1年经验,无学历要求,民营公司,50-150人,"贸易/进出口,互联网/电子商务",6.5,1.8718021769015916,上海
81,无工作经验,本科,民营公司,1000-5000人,"教育/培训/院校,互联网/电子商务",10.0,2.302585092994046,广州
82,1年经验,无学历要求,民营公司,150-500人,金融/投资/证券,9.0,2.19722457733622,广州
83,2年经验,硕士,民营公司,少于50人,"电气/电力/水利,互联网/电子商务",18.5,2.917770732084279,上海
84,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128,广州
85,无工作经验,本科,上市公司,50-150人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553128,广州
86,2年经验,大专,外资企业,50-150人,"互联网/电子商务,贸易/进出口",8.0,2.079441541679836,广州
87,3-4年经验,本科,民营公司,150-500人,"计算机软件,互联网/电子商务",13.5,2.602689685444384,广州
88,无工作经验,大专,民营公司,150-500人,"批发/零售,生活服务",5.25,1.6582280766035324,其他
89,3-4年经验,本科,民营公司,50-150人,"互联网/电子商务,计算机软件",12.5,2.525728644308256,上海
90,无工作经验,本科,民营公司,1000-5000人,奢侈品/收藏品/工艺品/珠宝,5.0,1.6094379124341005,其他
91,无工作经验,大专,民营公司,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州
92,3-4年经验,本科,民营公司,50-150人,专业服务(咨询、人力资源、财会),7.25,1.9810014688665836,杭州
93,3-4年经验,本科,民营公司,少于50人,专业服务(咨询、人力资源、财会),11.5,2.4423470353692043,上海
94,3-4年经验,大专,外资企业,500-1000人,"互联网/电子商务,房地产",7.0,1.9459101490553128,武汉
95,无工作经验,硕士,民营公司,少于50人,"制药/生物工程,医疗/护理/卫生",6.5,1.8718021769015916,成都
96,3-4年经验,本科,外资企业,150-500人,"互联网/电子商务,计算机软件",13.5,2.602689685444384,广州
97,3-4年经验,本科,民营公司,少于50人,"专业服务(咨询、人力资源、财会),金融/投资/证券",11.5,2.4423470353692043,北京
98,3-4年经验,大专,民营公司,150-500人,"服装/纺织/皮革,互联网/电子商务",15.0,2.70805020110221,广州
99,2年经验,本科,民营公司,少于50人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553128,其他
100,1年经验,本科,民营公司,10000人以上,金融/投资/证券,11.5,2.4423470353692043,深圳
101,1年经验,大专,民营公司,50-150人,"专业服务(咨询、人力资源、财会),教育/培训/院校",7.5,2.0149030205422647,其他
102,3-4年经验,大专,民营公司,50-150人,"房地产,酒店/旅游",7.5,2.0149030205422647,广州
103,1年经验,大专,民营公司,500-1000人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",5.25,1.6582280766035324,广州
104,无工作经验,本科,民营公司,1000-5000人,房地产,4.5,1.5040773967762742,其他
105,无工作经验,大专,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128,广州
106,无工作经验,高中,民营公司,50-150人,金融/投资/证券,5.25,1.6582280766035324,广州
107,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
108,2年经验,本科,民营公司,150-500人,计算机软件,15.0,2.70805020110221,北京
109,无工作经验,无学历要求,民营公司,150-500人,计算机软件,7.0,1.9459101490553128,武汉
110,无工作经验,大专,民营公司,150-500人,"教育/培训/院校,计算机软件",7.0,1.9459101490553128,其他
111,1年经验,本科,民营公司,150-500人,计算机软件,6.0,1.791759469228055,上海
112,无工作经验,本科,民营公司,50-150人,"电子技术/半导体/集成电路,通信/电信/网络设备",15.0,2.70805020110221,深圳
113,无工作经验,无学历要求,上市公司,150-500人,"计算机软件,银行",10.0,2.302585092994046,广州
114,1年经验,本科,民营公司,少于50人,"计算机软件,互联网/电子商务",8.0,2.079441541679836,深圳
115,1年经验,本科,民营公司,50-150人,"互联网/电子商务,贸易/进出口",6.5,1.8718021769015916,杭州
116,无工作经验,无学历要求,民营公司,50-150人,互联网/电子商务,7.0,1.9459101490553128,其他
117,无工作经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",6.5,1.8718021769015916,其他
118,3-4年经验,本科,民营公司,1000-5000人,"金融/投资/证券,互联网/电子商务",17.5,2.862200880929469,上海
119,无工作经验,本科,国企,50-150人,"专业服务(咨询、人力资源、财会),公关/市场推广/会展",4.55,1.5151272329628591,成都
120,5年以上经验,本科,外资企业,500-1000人,"互联网/电子商务,金融/投资/证券",22.5,3.1135153092103742,深圳
121,1年经验,硕士,民营公司,少于50人,金融/投资/证券,15.0,2.70805020110221,北京
122,无工作经验,高中,民营公司,150-500人,金融/投资/证券,5.25,1.6582280766035324,广州
123,2年经验,本科,民营公司,1000-5000人,"互联网/电子商务,酒店/旅游",15.0,2.70805020110221,杭州
124,2年经验,本科,国企,500-1000人,计算机软件,8.0,2.079441541679836,西安
125,1年经验,本科,民营公司,500-1000人,互联网/电子商务,11.5,2.4423470353692043,南京
126,3-4年经验,本科,民营公司,少于50人,"计算机硬件,计算机服务(系统、数据服务、维修)",8.0,2.079441541679836,其他
127,无工作经验,高中,民营公司,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",7.0,1.9459101490553128,广州
128,2年经验,本科,外资企业,10000人以上,酒店/旅游,10.0,2.302585092994046,上海
129,3-4年经验,本科,民营公司,150-500人,"计算机软件,互联网/电子商务",13.0,2.5649493574615367,其他
130,2年经验,本科,合资,10000人以上,"批发/零售,快速消费品(食品、饮料、化妆品)",9.0,2.19722457733622,上海
131,3-4年经验,本科,民营公司,500-1000人,"互联网/电子商务,计算机软件",20.0,2.995732273553991,广州
132,2年经验,本科,国企,1000-5000人,"银行,金融/投资/证券",15.0,2.70805020110221,广州
133,3-4年经验,本科,民营公司,1000-5000人,计算机软件,11.5,2.4423470353692043,广州
134,无工作经验,无学历要求,合资,500-1000人,"服装/纺织/皮革,批发/零售",9.0,2.19722457733622,上海
135,无工作经验,无学历要求,民营公司,少于50人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622,广州
136,2年经验,本科,民营公司,50-150人,"广告,互联网/电子商务",5.0,1.6094379124341005,成都
137,3-4年经验,本科,民营公司,50-150人,"互联网/电子商务,计算机软件",17.5,2.862200880929469,上海
138,无工作经验,大专,民营公司,50-150人,"金融/投资/证券,计算机服务(系统、数据服务、维修)",5.25,1.6582280766035324,广州
139,无工作经验,本科,民营公司,50-150人,金融/投资/证券,17.5,2.862200880929469,上海
140,无工作经验,无学历要求,国企,少于50人,互联网/电子商务,5.25,1.6582280766035324,上海
141,无工作经验,无学历要求,民营公司,1000-5000人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",8.5,2.1400661634962708,其他
142,2年经验,高中,民营公司,500-1000人,服装/纺织/皮革,11.0,2.3978952727983707,广州
143,无工作经验,无学历要求,民营公司,50-150人,电气/电力/水利,4.0,1.3862943611198906,其他
144,无工作经验,本科,国企,150-500人,计算机软件,7.0,1.9459101490553128,合肥
145,2年经验,大专,民营公司,10000人以上,"多元化业务集团公司,金融/投资/证券",10.0,2.302585092994046,其他
146,无工作经验,本科,民营公司,少于50人,"仪器仪表/工业自动化,环保",20.833333333333336,3.036554268074246,上海
147,无工作经验,无学历要求,民营公司,50-150人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553128,上海
148,2年经验,大专,外资企业,150-500人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",10.0,2.302585092994046,广州
149,无工作经验,大专,合资,500-1000人,金融/投资/证券,9.0,2.19722457733622,北京
150,无工作经验,大专,外资企业,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128,广州
151,无工作经验,高中,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128,广州
152,1年经验,本科,民营公司,10000人以上,"互联网/电子商务,房地产",5.25,1.6582280766035324,其他
153,无工作经验,无学历要求,合资,150-500人,金融/投资/证券,9.0,2.19722457733622,北京
155,无工作经验,大专,外资企业,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622,广州
156,无工作经验,无学历要求,民营公司,150-500人,教育/培训/院校,7.0,1.9459101490553128,广州
157,无工作经验,无学历要求,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128,广州
158,1年经验,大专,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128,广州
159,无工作经验,无学历要求,合资,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622,北京
160,无工作经验,无学历要求,民营公司,150-500人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",5.25,1.6582280766035324,广州
161,无工作经验,无学历要求,民营公司,500-1000人,"金融/投资/证券,教育/培训/院校",9.0,2.19722457733622,其他
162,1年经验,本科,民营公司,少于50人,"专业服务(咨询、人力资源、财会),汽车及零配件",6.0,1.791759469228055,广州
163,3-4年经验,大专,民营公司,1000-5000人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622,武汉
164,无工作经验,大专,民营公司,50-150人,"网络游戏,计算机软件",7.0,1.9459101490553128,其他
165,3-4年经验,本科,上市公司,150-500人,"计算机软件,互联网/电子商务",16.5,2.803360380906535,成都
166,无工作经验,大专,民营公司,50-150人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128,成都
167,3-4年经验,本科,民营公司,500-1000人,互联网/电子商务,17.5,2.862200880929469,上海
168,无工作经验,本科,民营公司,50-150人,互联网/电子商务,13.5,2.602689685444384,其他
169,2年经验,本科,民营公司,,教育/培训/院校,10.0,2.302585092994046,成都
170,1年经验,大专,民营公司,150-500人,"贸易/进出口,快速消费品(食品、饮料、化妆品)",7.5,2.0149030205422647,上海
171,无工作经验,无学历要求,民营公司,少于50人,"计算机软件,专业服务(咨询、人力资源、财会)",22.5,3.1135153092103742,北京
172,5年以上经验,本科,民营公司,500-1000人,"奢侈品/收藏品/工艺品/珠宝,银行",17.5,2.862200880929469,上海
173,3-4年经验,无学历要求,上市公司,500-1000人,"网络游戏,互联网/电子商务",7.0,1.9459101490553128,广州
174,5年以上经验,本科,国企,1000-5000人,汽车及零配件,9.0,2.19722457733622,其他
175,1年经验,大专,民营公司,150-500人,互联网/电子商务,8.0,2.079441541679836,深圳
176,无工作经验,高中,合资,50-150人,金融/投资/证券,7.0,1.9459101490553128,广州
177,无工作经验,高中,民营公司,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",9.0,2.19722457733622,广州
178,2年经验,大专,民营公司,150-500人,金融/投资/证券,9.0,2.19722457733622,广州
179,2年经验,本科,上市公司,500-1000人,"互联网/电子商务,广告",14.5,2.6741486494265287,上海
180,无工作经验,大专,民营公司,少于50人,金融/投资/证券,7.0,1.9459101490553128,其他
181,无工作经验,本科,民营公司,50-150人,互联网/电子商务,11.5,2.4423470353692043,广州
182,无工作经验,本科,民营公司,150-500人,互联网/电子商务,6.0,1.791759469228055,其他
183,无工作经验,本科,合资,1000-5000人,专业服务(咨询、人力资源、财会),14.0,2.6390573296152584,上海
184,无工作经验,无学历要求,民营公司,50-150人,"计算机软件,影视/媒体/艺术/文化传播",20.0,2.995732273553991,广州
185,3-4年经验,本科,民营公司,5000-10000人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",30.0,3.4011973816621555,北京
186,5年以上经验,本科,外资企业,50-150人,"计算机软件,保险",22.5,3.1135153092103742,上海
187,3-4年经验,本科,民营公司,500-1000人,"互联网/电子商务,保险",15.0,2.70805020110221,广州
188,5年以上经验,本科,民营公司,500-1000人,贸易/进出口,17.5,2.862200880929469,上海
189,1年经验,本科,上市公司,150-500人,"网络游戏,计算机服务(系统、数据服务、维修)",10.0,2.302585092994046,上海
190,无工作经验,大专,民营公司,,金融/投资/证券,12.5,2.525728644308256,深圳
191,3-4年经验,本科,民营公司,1000-5000人,"快速消费品(食品、饮料、化妆品),批发/零售",12.5,2.525728644308256,上海
192,无工作经验,无学历要求,民营公司,10000人以上,保险,9.0,2.19722457733622,其他
193,无工作经验,高中,民营公司,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",10.5,2.3513752571634776,广州
194,无工作经验,无学历要求,民营公司,10000人以上,"保险,银行",6.25,1.8325814637483104,其他
195,2年经验,本科,民营公司,500-1000人,互联网/电子商务,10.0,2.302585092994046,广州
196,无工作经验,硕士,合资,150-500人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",6.5,1.8718021769015916,成都
197,2年经验,本科,民营公司,500-1000人,互联网/电子商务,12.5,2.525728644308256,深圳
198,无工作经验,本科,外资企业,500-1000人,"多元化业务集团公司,专业服务(咨询、人力资源、财会)",5.0,1.6094379124341005,广州
199,无工作经验,本科,外资企业,500-1000人,"通信/电信运营、增值服务,互联网/电子商务",12.5,2.525728644308256,上海
200,5年以上经验,本科,民营公司,少于50人,"互联网/电子商务,计算机软件",17.5,2.862200880929469,深圳
201,2年经验,本科,民营公司,150-500人,"网络游戏,计算机软件",10.0,2.302585092994046,上海
202,1年经验,大专,民营公司,50-150人,金融/投资/证券,9.0,2.19722457733622,广州
203,5年以上经验,本科,民营公司,150-500人,"通信/电信运营、增值服务,互联网/电子商务",22.5,3.1135153092103742,其他
204,无工作经验,本科,外资企业,10000人以上,"酒店/旅游,娱乐/休闲/体育",14.5,2.6741486494265287,其他
205,无工作经验,本科,民营公司,少于50人,专业服务(咨询、人力资源、财会),25.0,3.218875824868201,北京
206,1年经验,大专,民营公司,50-150人,"服装/纺织/皮革,快速消费品(食品、饮料、化妆品)",10.0,2.302585092994046,上海
207,无工作经验,无学历要求,合资,150-500人,"计算机服务(系统、数据服务、维修),互联网/电子商务",22.5,3.1135153092103742,上海
208,2年经验,本科,民营公司,150-500人,"房地产,互联网/电子商务",12.5,2.525728644308256,深圳
209,无工作经验,大专,民营公司,150-500人,餐饮业,5.0,1.6094379124341005,其他
210,无工作经验,无学历要求,民营公司,少于50人,计算机服务(系统、数据服务、维修),5.25,1.6582280766035324,上海
211,无工作经验,大专,外资企业,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128,广州
212,无工作经验,大专,民营公司,150-500人,金融/投资/证券,17.5,2.862200880929469,广州
213,3-4年经验,本科,民营公司,150-500人,"计算机服务(系统、数据服务、维修),金融/投资/证券",17.5,2.862200880929469,杭州
214,2年经验,本科,民营公司,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",12.5,2.525728644308256,上海
215,2年经验,本科,民营公司,150-500人,"专业服务(咨询、人力资源、财会),建筑/建材/工程",12.0,2.4849066497880004,北京
216,无工作经验,硕士,民营公司,500-1000人,"制药/生物工程,学术/科研",7.5,2.0149030205422647,南京
217,5年以上经验,本科,外资企业,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)",25.0,3.218875824868201,成都
218,1年经验,本科,民营公司,150-500人,互联网/电子商务,7.0,1.9459101490553128,其他
219,无工作经验,大专,民营公司,150-500人,"电子技术/半导体/集成电路,互联网/电子商务",5.6,1.7227665977411035,其他
220,5年以上经验,本科,民营公司,5000-10000人,"批发/零售,互联网/电子商务",20.0,2.995732273553991,深圳
221,3-4年经验,大专,民营公司,50-150人,互联网/电子商务,8.0,2.079441541679836,其他
222,无工作经验,无学历要求,民营公司,500-1000人,"电子技术/半导体/集成电路,计算机软件",5.25,1.6582280766035324,武汉
223,1年经验,大专,民营公司,150-500人,"互联网/电子商务,批发/零售",7.0,1.9459101490553128,南京
224,无工作经验,本科,民营公司,1000-5000人,互联网/电子商务,18.0,2.8903717578961645,广州
225,3-4年经验,大专,民营公司,1000-5000人,"互联网/电子商务,家居/室内设计/装潢",22.5,3.1135153092103742,上海
226,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
227,无工作经验,无学历要求,民营公司,150-500人,仪器仪表/工业自动化,7.0,1.9459101490553128,其他
228,无工作经验,大专,外资企业,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622,广州
229,5年以上经验,本科,外资企业,1000-5000人,银行,37.5,3.624340932976365,上海
230,3-4年经验,本科,民营公司,50-150人,"互联网/电子商务,汽车及零配件",11.5,2.4423470353692043,上海
231,无工作经验,大专,民营公司,150-500人,"计算机软件,电子技术/半导体/集成电路",5.75,1.749199854809259,其他
232,无工作经验,硕士,民营公司,5000-10000人,汽车及零配件,6.5,1.8718021769015916,其他
233,无工作经验,大专,外资企业,150-500人,"金融/投资/证券,多元化业务集团公司",9.0,2.19722457733622,广州
234,无工作经验,本科,合资,500-1000人,"家具/家电/玩具/礼品,汽车及零配件",8.0,2.079441541679836,其他
235,无工作经验,本科,民营公司,500-1000人,"互联网/电子商务,租赁服务",11.0,2.3978952727983707,广州
236,2年经验,大专,民营公司,少于50人,专业服务(咨询、人力资源、财会),8.0,2.079441541679836,上海
237,无工作经验,大专,外资企业,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622,广州
238,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
239,1年经验,本科,民营公司,150-500人,"通信/电信运营、增值服务,互联网/电子商务",5.0,1.6094379124341005,其他
240,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
241,1年经验,大专,民营公司,150-500人,计算机软件,6.0,1.791759469228055,其他
242,2年经验,无学历要求,上市公司,150-500人,"计算机软件,电气/电力/水利",10.5,2.3513752571634776,上海
243,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647,广州
244,3-4年经验,本科,上市公司,150-500人,仪器仪表/工业自动化,7.0,1.9459101490553128,其他
245,无工作经验,无学历要求,合资,1000-5000人,教育/培训/院校,12.5,2.525728644308256,广州
246,无工作经验,无学历要求,民营公司,150-500人,通信/电信/网络设备,7.0,1.9459101490553128,上海
247,无工作经验,无学历要求,民营公司,150-500人,金融/投资/证券,9.0,2.19722457733622,广州
248,无工作经验,本科,民营公司,少于50人,互联网/电子商务,6.0,1.791759469228055,杭州
249,无工作经验,无学历要求,合资,150-500人,"专业服务(咨询、人力资源、财会),外包服务",30.0,3.4011973816621555,上海
250,3-4年经验,本科,民营公司,50-150人,计算机服务(系统、数据服务、维修),11.5,2.4423470353692043,合肥
251,2年经验,本科,合资,150-500人,"互联网/电子商务,汽车及零配件",15.0,2.70805020110221,上海
252,3-4年经验,本科,国企,150-500人,"计算机软件,互联网/电子商务",10.0,2.302585092994046,杭州
253,1年经验,大专,外资企业,150-500人,快速消费品(食品、饮料、化妆品),5.25,1.6582280766035324,广州
254,1年经验,大专,民营公司,500-1000人,金融/投资/证券,9.0,2.19722457733622,南京
255,无工作经验,本科,外资企业,50-150人,"专业服务(咨询、人力资源、财会),快速消费品(食品、饮料、化妆品)",5.5,1.7047480922384253,上海
256,2年经验,本科,民营公司,500-1000人,"教育/培训/院校,计算机软件",17.5,2.862200880929469,上海
257,1年经验,无学历要求,民营公司,50-150人,"计算机软件,互联网/电子商务",4.0,1.3862943611198906,其他
258,2年经验,本科,民营公司,150-500人,"计算机服务(系统、数据服务、维修),互联网/电子商务",11.5,2.4423470353692043,北京
259,2年经验,本科,民营公司,50-150人,"电气/电力/水利,计算机软件",12.5,2.525728644308256,上海
260,3-4年经验,本科,外资企业,150-500人,专业服务(咨询、人力资源、财会),12.5,2.525728644308256,杭州
261,1年经验,大专,民营公司,500-1000人,快速消费品(食品、饮料、化妆品),5.25,1.6582280766035324,广州
