,location,exp,edu,type,scale,industry,avgsalary,lnsalary
24,上海-黄浦区,无工作经验,无学历要求,外资（欧美）,500-1000人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",7.0,1.9459101490553128
25,苏州-工业园区,无工作经验,无学历要求,民营公司,50-150人,"计算机软件,互联网/电子商务",7.5,2.0149030205422647
26,佛山-禅城区,无工作经验,本科,民营公司,50-150人,计算机服务(系统、数据服务、维修),6.25,1.8325814637483104
27,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
28,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
29,上海,5-7年经验,本科,民营公司,500-1000人,互联网/电子商务,17.5,2.862200880929469
30,广州-白云区,2年经验,大专,民营公司,500-1000人,"批发/零售,家具/家电/玩具/礼品",8.0,2.079441541679836
31,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
32,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
33,广州-天河区,5-7年经验,本科,民营公司,1000-5000人,"服装/纺织/皮革,批发/零售",17.5,2.862200880929469
34,厦门,1年经验,大专,民营公司,500-1000人,计算机软件,10.5,2.3513752571634776
35,合肥,无工作经验,大专,民营公司,150-500人,计算机软件,5.25,1.6582280766035324
36,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
37,北京-海淀区,2年经验,本科,上市公司,5000-10000人,教育/培训/院校,15.0,2.70805020110221
38,广州,无工作经验,无学历要求,民营公司,50-150人,贸易/进出口,7.0,1.9459101490553128
39,深圳,2年经验,本科,民营公司,1000-5000人,"奢侈品/收藏品/工艺品/珠宝,家具/家电/玩具/礼品",10.0,2.302585092994046
40,深圳-罗湖区,1年经验,大专,民营公司,1000-5000人,医疗/护理/卫生,7.0,1.9459101490553128
41,东莞-南城区,2年经验,大专,民营公司,少于50人,"互联网/电子商务,贸易/进出口",7.0,1.9459101490553128
42,深圳-龙华新区,2年经验,大专,民营公司,50-150人,"互联网/电子商务,电子技术/半导体/集成电路",12.5,2.525728644308256
43,广州,3-4年经验,本科,民营公司,少于50人,"计算机软件,通信/电信运营、增值服务",11.5,2.4423470353692043
44,广州-天河区,无工作经验,高中,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128
45,重庆-渝中区,无工作经验,本科,民营公司,1000-5000人,"影视/媒体/艺术/文化传播,批发/零售",6.0,1.791759469228055
46,上海-虹口区,2年经验,本科,上市公司,150-500人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",13.5,2.602689685444384
47,上海,1年经验,本科,民营公司,150-500人,"网络游戏,互联网/电子商务",18.0,2.8903717578961645
48,广州,无工作经验,大专,民营公司,150-500人,"医疗设备/器械,医疗/护理/卫生",5.75,1.749199854809259
49,广州-越秀区,3-4年经验,本科,国企,10000人以上,多元化业务集团公司,19.583333333333336,2.9746788643561586
50,东莞-南城区,2年经验,大专,民营公司,50-150人,"互联网/电子商务,贸易/进出口",7.5,2.0149030205422647
51,广州-天河区,无工作经验,大专,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128
52,重庆-南岸区,无工作经验,大专,民营公司,50-150人,汽车及零配件,5.25,1.6582280766035324
53,成都-武侯区,无工作经验,无学历要求,民营公司,150-500人,教育/培训/院校,7.0,1.9459101490553128
54,上海-长宁区,2年经验,本科,民营公司,1000-5000人,互联网/电子商务,17.5,2.862200880929469
55,广州-花都区,1年经验,本科,民营公司,500-1000人,"电子技术/半导体/集成电路,家具/家电/玩具/礼品",7.5,2.0149030205422647
56,上海-静安区,1年经验,硕士,民营公司,50-150人,"互联网/电子商务,制药/生物工程",11.5,2.4423470353692043
57,上海-嘉定区,无工作经验,无学历要求,民营公司,150-500人,"网络游戏,互联网/电子商务",5.0,1.6094379124341005
58,上海,3-4年经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",15.0,2.70805020110221
59,济南-槐荫区,1年经验,硕士,民营公司,少于50人,"制药/生物工程,学术/科研",7.0,1.9459101490553128
60,无锡,3-4年经验,大专,上市公司,500-1000人,房地产,6.5,1.8718021769015916
61,上海-闵行区,5-7年经验,本科,民营公司,50-150人,互联网/电子商务,17.5,2.862200880929469
62,深圳-福田区,2年经验,大专,创业公司,少于50人,"计算机软件,计算机服务(系统、数据服务、维修)",10.0,2.302585092994046
63,西安-高新技术产业开发区,3-4年经验,本科,民营公司,50-150人,计算机软件,10.5,2.3513752571634776
64,北京-朝阳区,无工作经验,中专,合资,150-500人,"金融/投资/证券,多元化业务集团公司",7.0,1.9459101490553128
65,广州-天河区,无工作经验,中专,合资,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128
66,上海-静安区,无工作经验,无学历要求,民营公司,150-500人,"多元化业务集团公司,计算机软件",20.0,2.995732273553991
67,南京-雨花台区,2年经验,本科,民营公司,50-150人,"计算机软件,电子技术/半导体/集成电路",12.5,2.525728644308256
68,深圳-南山区,3-4年经验,本科,民营公司,50-150人,"计算机服务(系统、数据服务、维修),通信/电信运营、增值服务",12.5,2.525728644308256
69,上海-闵行区,1年经验,大专,民营公司,50-150人,"环保,贸易/进出口",7.0,1.9459101490553128
70,青岛-市南区,无工作经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",5.25,1.6582280766035324
71,深圳-龙岗区,1年经验,本科,民营公司,10000人以上,"通信/电信运营、增值服务,通信/电信/网络设备",12.5,2.525728644308256
72,广州-天河区,无工作经验,高中,民营公司,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128
73,深圳-福田区,无工作经验,大专,民营公司,50-150人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",9.0,2.19722457733622
74,北京-朝阳区,无工作经验,无学历要求,民营公司,50-150人,"金融/投资/证券,多元化业务集团公司",10.416666666666668,2.3434070875143007
75,广州,无工作经验,高中,民营公司,150-500人,金融/投资/证券,6.5,1.8718021769015916
76,长沙-开福区,2年经验,大专,民营公司,150-500人,互联网/电子商务,5.0,1.6094379124341005
77,上海,无工作经验,无学历要求,民营公司,150-500人,"计算机软件,通信/电信运营、增值服务",7.0,1.9459101490553128
78,苏州-工业园区,2年经验,本科,民营公司,50-150人,计算机软件,12.5,2.525728644308256
79,北京,2年经验,本科,民营公司,10000人以上,"互联网/电子商务,计算机软件",22.5,3.1135153092103742
80,上海-闵行区,1年经验,无学历要求,民营公司,50-150人,"贸易/进出口,互联网/电子商务",6.5,1.8718021769015916
81,广州-天河区,无工作经验,本科,民营公司,1000-5000人,"教育/培训/院校,互联网/电子商务",10.0,2.302585092994046
82,广州-天河区,1年经验,无学历要求,民营公司,150-500人,金融/投资/证券,9.0,2.19722457733622
83,上海,2年经验,硕士,民营公司,少于50人,"电气/电力/水利,互联网/电子商务",18.5,2.917770732084279
84,广州-天河区,无工作经验,高中,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128
85,广州,无工作经验,本科,上市公司,50-150人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553128
86,广州-海珠区,2年经验,大专,外资（欧美）,50-150人,"互联网/电子商务,贸易/进出口",8.0,2.079441541679836
87,广州,3-4年经验,本科,民营公司,150-500人,"计算机软件,互联网/电子商务",13.5,2.602689685444384
88,衡阳,无工作经验,大专,民营公司,150-500人,"批发/零售,生活服务",5.25,1.6582280766035324
89,上海-浦东新区,3-4年经验,本科,民营公司,50-150人,"互联网/电子商务,计算机软件",12.5,2.525728644308256
90,沈阳-大东区,无工作经验,本科,民营公司,1000-5000人,奢侈品/收藏品/工艺品/珠宝,5.0,1.6094379124341005
91,广州-天河区,无工作经验,大专,民营公司,150-500人,金融/投资/证券,5.25,1.6582280766035324
92,杭州-拱墅区,3-4年经验,本科,民营公司,50-150人,专业服务(咨询、人力资源、财会),7.25,1.9810014688665836
93,上海-静安区,3-4年经验,本科,民营公司,少于50人,专业服务(咨询、人力资源、财会),11.5,2.4423470353692043
94,武汉-武昌区,3-4年经验,大专,外资（非欧美）,500-1000人,"互联网/电子商务,房地产",7.0,1.9459101490553128
95,成都-武侯区,无工作经验,硕士,民营公司,少于50人,"制药/生物工程,医疗/护理/卫生",6.5,1.8718021769015916
96,广州-天河区,3-4年经验,本科,外资（欧美）,150-500人,"互联网/电子商务,计算机软件",13.5,2.602689685444384
97,北京,3-4年经验,本科,民营公司,少于50人,"专业服务(咨询、人力资源、财会),金融/投资/证券",11.5,2.4423470353692043
98,广州-番禺区,3-4年经验,大专,民营公司,150-500人,"服装/纺织/皮革,互联网/电子商务",15.0,2.70805020110221
99,福州,2年经验,本科,民营公司,少于50人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553128
100,深圳-福田区,1年经验,本科,民营公司,10000人以上,金融/投资/证券,11.5,2.4423470353692043
101,温州,1年经验,大专,民营公司,50-150人,"专业服务(咨询、人力资源、财会),教育/培训/院校",7.5,2.0149030205422647
102,广州,3-4年经验,大专,民营公司,50-150人,"房地产,酒店/旅游",7.5,2.0149030205422647
103,广州-天河区,1年经验,大专,民营公司,500-1000人,"互联网/电子商务,快速消费品(食品、饮料、化妆品)",5.25,1.6582280766035324
104,东莞,无工作经验,本科,民营公司,1000-5000人,房地产,4.5,1.5040773967762742
105,广州-天河区,无工作经验,大专,民营公司,50-150人,金融/投资/证券,7.0,1.9459101490553128
106,广州-天河区,无工作经验,高中,民营公司,50-150人,金融/投资/证券,5.25,1.6582280766035324
107,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
108,北京-昌平区,2年经验,本科,民营公司,150-500人,计算机软件,15.0,2.70805020110221
109,武汉,无工作经验,无学历要求,民营公司,150-500人,计算机软件,7.0,1.9459101490553128
110,青岛,无工作经验,大专,民营公司,150-500人,"教育/培训/院校,计算机软件",7.0,1.9459101490553128
111,上海-浦东新区,1年经验,本科,民营公司,150-500人,计算机软件,6.0,1.791759469228055
112,深圳-宝安区,无工作经验,本科,民营公司,50-150人,"电子技术/半导体/集成电路,通信/电信/网络设备",15.0,2.70805020110221
113,广州,无工作经验,无学历要求,上市公司,150-500人,"计算机软件,银行",10.0,2.302585092994046
114,深圳-福田区,1年经验,本科,民营公司,少于50人,"计算机软件,互联网/电子商务",8.0,2.079441541679836
115,杭州,1年经验,本科,民营公司,50-150人,"互联网/电子商务,贸易/进出口",6.5,1.8718021769015916
116,大连-中山区,无工作经验,无学历要求,民营公司,50-150人,互联网/电子商务,7.0,1.9459101490553128
117,长沙-岳麓区,无工作经验,大专,民营公司,50-150人,"计算机软件,互联网/电子商务",6.5,1.8718021769015916
118,上海-浦东新区,3-4年经验,本科,民营公司,1000-5000人,"金融/投资/证券,互联网/电子商务",17.5,2.862200880929469
119,成都-金牛区,无工作经验,本科,国企,50-150人,"专业服务(咨询、人力资源、财会),公关/市场推广/会展",4.55,1.5151272329628591
120,深圳-南山区,5-7年经验,本科,外资（非欧美）,500-1000人,"互联网/电子商务,金融/投资/证券",22.5,3.1135153092103742
121,北京-西城区,1年经验,硕士,民营公司,少于50人,金融/投资/证券,15.0,2.70805020110221
122,广州-天河区,无工作经验,高中,民营公司,150-500人,金融/投资/证券,5.25,1.6582280766035324
123,杭州-滨江区,2年经验,本科,民营公司,1000-5000人,"互联网/电子商务,酒店/旅游",15.0,2.70805020110221
124,西安-雁塔区,2年经验,本科,国企,500-1000人,计算机软件,8.0,2.079441541679836
125,南京-建邺区,1年经验,本科,民营公司,500-1000人,互联网/电子商务,11.5,2.4423470353692043
126,苏州-工业园区,3-4年经验,本科,民营公司,少于50人,"计算机硬件,计算机服务(系统、数据服务、维修)",8.0,2.079441541679836
127,广州-天河区,无工作经验,高中,民营公司,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",7.0,1.9459101490553128
128,上海-长宁区,2年经验,本科,外资（欧美）,10000人以上,酒店/旅游,10.0,2.302585092994046
129,亳州,3-4年经验,本科,民营公司,150-500人,"计算机软件,互联网/电子商务",13.0,2.5649493574615367
130,上海-嘉定区,2年经验,本科,合资,10000人以上,"批发/零售,快速消费品(食品、饮料、化妆品)",9.0,2.19722457733622
131,广州-番禺区,3-4年经验,本科,民营公司,500-1000人,"互联网/电子商务,计算机软件",20.0,2.995732273553991
132,广州-天河区,2年经验,本科,国企,1000-5000人,"银行,金融/投资/证券",15.0,2.70805020110221
133,广州,3-4年经验,本科,民营公司,1000-5000人,计算机软件,11.5,2.4423470353692043
134,上海-杨浦区,无工作经验,无学历要求,合资,500-1000人,"服装/纺织/皮革,批发/零售",9.0,2.19722457733622
135,广州-天河区,无工作经验,无学历要求,民营公司,少于50人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622
136,成都-武侯区,2年经验,本科,民营公司,50-150人,"广告,互联网/电子商务",5.0,1.6094379124341005
137,上海-徐汇区,3-4年经验,本科,民营公司,50-150人,"互联网/电子商务,计算机软件",17.5,2.862200880929469
138,广州-天河区,无工作经验,大专,民营公司,50-150人,"金融/投资/证券,计算机服务(系统、数据服务、维修)",5.25,1.6582280766035324
139,上海-黄浦区,无工作经验,本科,民营公司,50-150人,金融/投资/证券,17.5,2.862200880929469
140,上海-杨浦区,无工作经验,无学历要求,国企,少于50人,互联网/电子商务,5.25,1.6582280766035324
141,东莞,无工作经验,无学历要求,民营公司,1000-5000人,"互联网/电子商务,计算机服务(系统、数据服务、维修)",8.5,2.1400661634962708
142,广州-番禺区,2年经验,高中,民营公司,500-1000人,服装/纺织/皮革,11.0,2.3978952727983707
143,沧州,无工作经验,无学历要求,民营公司,50-150人,电气/电力/水利,4.0,1.3862943611198906
144,合肥,无工作经验,本科,国企,150-500人,计算机软件,7.0,1.9459101490553128
145,东莞,2年经验,大专,民营公司,10000人以上,"多元化业务集团公司,金融/投资/证券",10.0,2.302585092994046
146,上海-嘉定区,无工作经验,本科,民营公司,少于50人,"仪器仪表/工业自动化,环保",20.833333333333336,3.036554268074246
147,上海-浦东新区,无工作经验,无学历要求,民营公司,50-150人,专业服务(咨询、人力资源、财会),7.0,1.9459101490553128
148,广州-白云区,2年经验,大专,外资（欧美）,150-500人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",10.0,2.302585092994046
149,北京-朝阳区,无工作经验,大专,合资,500-1000人,金融/投资/证券,9.0,2.19722457733622
150,广州-天河区,无工作经验,大专,外资（非欧美）,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128
151,广州-天河区,无工作经验,高中,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128
152,泉州,1年经验,本科,民营公司,10000人以上,"互联网/电子商务,房地产",5.25,1.6582280766035324
153,北京-朝阳区,无工作经验,无学历要求,合资,150-500人,金融/投资/证券,9.0,2.19722457733622
154,北京-朝阳区,无工作经验,中技,合资,500-1000人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",12.0,2.4849066497880004
155,广州-天河区,无工作经验,大专,外资（非欧美）,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622
156,广州,无工作经验,无学历要求,民营公司,150-500人,教育/培训/院校,7.0,1.9459101490553128
157,广州-天河区,无工作经验,无学历要求,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128
158,广州-天河区,1年经验,大专,民营公司,150-500人,金融/投资/证券,7.0,1.9459101490553128
159,北京-西城区,无工作经验,无学历要求,合资,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622
160,广州-天河区,无工作经验,无学历要求,民营公司,150-500人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",5.25,1.6582280766035324
161,无锡-滨湖区,无工作经验,无学历要求,民营公司,500-1000人,"金融/投资/证券,教育/培训/院校",9.0,2.19722457733622
162,广州-天河区,1年经验,本科,民营公司,少于50人,"专业服务(咨询、人力资源、财会),汽车及零配件",6.0,1.791759469228055
163,武汉-江夏区,3-4年经验,大专,民营公司,1000-5000人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622
164,福州,无工作经验,大专,民营公司,50-150人,"网络游戏,计算机软件",7.0,1.9459101490553128
165,成都,3-4年经验,本科,上市公司,150-500人,"计算机软件,互联网/电子商务",16.5,2.803360380906535
166,成都-锦江区,无工作经验,大专,民营公司,50-150人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128
167,上海-浦东新区,3-4年经验,本科,民营公司,500-1000人,互联网/电子商务,17.5,2.862200880929469
168,宁波,无工作经验,本科,民营公司,50-150人,互联网/电子商务,13.5,2.602689685444384
169,成都-高新区,2年经验,本科,民营公司,,教育/培训/院校,10.0,2.302585092994046
170,上海-浦东新区,1年经验,大专,民营公司,150-500人,"贸易/进出口,快速消费品(食品、饮料、化妆品)",7.5,2.0149030205422647
171,北京-朝阳区,无工作经验,无学历要求,民营公司,少于50人,"计算机软件,专业服务(咨询、人力资源、财会)",22.5,3.1135153092103742
172,上海-静安区,10年以上经验,本科,民营公司,500-1000人,"奢侈品/收藏品/工艺品/珠宝,银行",17.5,2.862200880929469
173,广州,3-4年经验,无学历要求,上市公司,500-1000人,"网络游戏,互联网/电子商务",7.0,1.9459101490553128
174,南昌,5-7年经验,本科,国企,1000-5000人,汽车及零配件,9.0,2.19722457733622
175,深圳-龙岗区,1年经验,大专,民营公司,150-500人,互联网/电子商务,8.0,2.079441541679836
176,广州-天河区,无工作经验,高中,合资,50-150人,金融/投资/证券,7.0,1.9459101490553128
177,广州-天河区,无工作经验,高中,民营公司,50-150人,"互联网/电子商务,专业服务(咨询、人力资源、财会)",9.0,2.19722457733622
178,广州-天河区,2年经验,大专,民营公司,150-500人,金融/投资/证券,9.0,2.19722457733622
179,上海-徐汇区,2年经验,本科,上市公司,500-1000人,"互联网/电子商务,广告",14.5,2.6741486494265287
180,南通,无工作经验,大专,民营公司,少于50人,金融/投资/证券,7.0,1.9459101490553128
181,广州-天河区,无工作经验,本科,民营公司,50-150人,互联网/电子商务,11.5,2.4423470353692043
182,佛山,无工作经验,本科,民营公司,150-500人,互联网/电子商务,6.0,1.791759469228055
183,上海-浦东新区,无工作经验,本科,合资,1000-5000人,专业服务(咨询、人力资源、财会),14.0,2.6390573296152584
184,广州-海珠区,无工作经验,无学历要求,民营公司,50-150人,"计算机软件,影视/媒体/艺术/文化传播",20.0,2.995732273553991
185,北京,3-4年经验,本科,民营公司,5000-10000人,"快速消费品(食品、饮料、化妆品),互联网/电子商务",30.0,3.4011973816621555
186,上海-徐汇区,5-7年经验,本科,外资（欧美）,50-150人,"计算机软件,保险",22.5,3.1135153092103742
187,广州-海珠区,3-4年经验,本科,民营公司,500-1000人,"互联网/电子商务,保险",15.0,2.70805020110221
188,上海-闵行区,5-7年经验,本科,民营公司,500-1000人,贸易/进出口,17.5,2.862200880929469
189,上海-徐汇区,1年经验,本科,上市公司,150-500人,"网络游戏,计算机服务(系统、数据服务、维修)",10.0,2.302585092994046
190,深圳-南山区,无工作经验,大专,民营公司,,金融/投资/证券,12.5,2.525728644308256
191,上海,3-4年经验,本科,民营公司,1000-5000人,"快速消费品(食品、饮料、化妆品),批发/零售",12.5,2.525728644308256
192,重庆-江北区,无工作经验,无学历要求,民营公司,10000人以上,保险,9.0,2.19722457733622
193,广州-天河区,无工作经验,高中,民营公司,150-500人,"金融/投资/证券,专业服务(咨询、人力资源、财会)",10.5,2.3513752571634776
194,重庆-江北区,无工作经验,无学历要求,民营公司,10000人以上,"保险,银行",6.25,1.8325814637483104
195,广州-海珠区,2年经验,本科,民营公司,500-1000人,互联网/电子商务,10.0,2.302585092994046
196,成都,无工作经验,硕士,合资,150-500人,"教育/培训/院校,专业服务(咨询、人力资源、财会)",6.5,1.8718021769015916
197,深圳-龙岗区,2年经验,本科,民营公司,500-1000人,互联网/电子商务,12.5,2.525728644308256
198,广州,无工作经验,本科,外资（欧美）,500-1000人,"多元化业务集团公司,专业服务(咨询、人力资源、财会)",5.0,1.6094379124341005
199,上海-静安区,无工作经验,本科,外资（非欧美）,500-1000人,"通信/电信运营、增值服务,互联网/电子商务",12.5,2.525728644308256
200,深圳-南山区,5-7年经验,本科,民营公司,少于50人,"互联网/电子商务,计算机软件",17.5,2.862200880929469
201,上海,2年经验,本科,民营公司,150-500人,"网络游戏,计算机软件",10.0,2.302585092994046
202,广州-天河区,1年经验,大专,民营公司,50-150人,金融/投资/证券,9.0,2.19722457733622
203,苏州-工业园区,5-7年经验,本科,民营公司,150-500人,"通信/电信运营、增值服务,互联网/电子商务",22.5,3.1135153092103742
204,珠海,无工作经验,本科,外资（欧美）,10000人以上,"酒店/旅游,娱乐/休闲/体育",14.5,2.6741486494265287
205,北京,无工作经验,本科,民营公司,少于50人,专业服务(咨询、人力资源、财会),25.0,3.218875824868201
206,上海-静安区,1年经验,大专,民营公司,50-150人,"服装/纺织/皮革,快速消费品(食品、饮料、化妆品)",10.0,2.302585092994046
207,上海-徐汇区,无工作经验,无学历要求,合资,150-500人,"计算机服务(系统、数据服务、维修),互联网/电子商务",22.5,3.1135153092103742
208,深圳-南山区,2年经验,本科,民营公司,150-500人,"房地产,互联网/电子商务",12.5,2.525728644308256
209,重庆-南岸区,无工作经验,大专,民营公司,150-500人,餐饮业,5.0,1.6094379124341005
210,上海-徐汇区,无工作经验,无学历要求,民营公司,少于50人,计算机服务(系统、数据服务、维修),5.25,1.6582280766035324
211,广州-天河区,无工作经验,大专,外资（非欧美）,150-500人,"金融/投资/证券,互联网/电子商务",7.0,1.9459101490553128
212,广州-天河区,无工作经验,大专,民营公司,150-500人,金融/投资/证券,17.5,2.862200880929469
213,杭州,3-4年经验,本科,民营公司,150-500人,"计算机服务(系统、数据服务、维修),金融/投资/证券",17.5,2.862200880929469
214,上海-浦东新区,2年经验,本科,民营公司,150-500人,"计算机软件,计算机服务(系统、数据服务、维修)",12.5,2.525728644308256
215,北京-海淀区,2年经验,本科,民营公司,150-500人,"专业服务(咨询、人力资源、财会),建筑/建材/工程",12.0,2.4849066497880004
216,南京-浦口区,无工作经验,硕士,民营公司,500-1000人,"制药/生物工程,学术/科研",7.5,2.0149030205422647
217,成都,5-7年经验,本科,外资（欧美）,500-1000人,"计算机软件,计算机服务(系统、数据服务、维修)",25.0,3.218875824868201
218,苏州-吴中区,1年经验,本科,民营公司,150-500人,互联网/电子商务,7.0,1.9459101490553128
219,郑州-管城回族区,无工作经验,大专,民营公司,150-500人,"电子技术/半导体/集成电路,互联网/电子商务",5.6,1.7227665977411035
220,深圳,5-7年经验,本科,民营公司,5000-10000人,"批发/零售,互联网/电子商务",20.0,2.995732273553991
221,苏州-工业园区,3-4年经验,大专,民营公司,50-150人,互联网/电子商务,8.0,2.079441541679836
222,武汉,无工作经验,无学历要求,民营公司,500-1000人,"电子技术/半导体/集成电路,计算机软件",5.25,1.6582280766035324
223,南京-江宁区,1年经验,大专,民营公司,150-500人,"互联网/电子商务,批发/零售",7.0,1.9459101490553128
224,广州-天河区,无工作经验,本科,民营公司,1000-5000人,互联网/电子商务,18.0,2.8903717578961645
225,上海,3-4年经验,大专,民营公司,1000-5000人,"互联网/电子商务,家居/室内设计/装潢",22.5,3.1135153092103742
226,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
227,天津-南开区,无工作经验,无学历要求,民营公司,150-500人,仪器仪表/工业自动化,7.0,1.9459101490553128
228,广州-天河区,无工作经验,大专,外资（非欧美）,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622
229,上海-浦东新区,5-7年经验,本科,外资（非欧美）,1000-5000人,银行,37.5,3.624340932976365
230,上海-杨浦区,3-4年经验,本科,民营公司,50-150人,"互联网/电子商务,汽车及零配件",11.5,2.4423470353692043
231,郑州,无工作经验,大专,民营公司,150-500人,"计算机软件,电子技术/半导体/集成电路",5.75,1.749199854809259
232,保定,无工作经验,硕士,民营公司,5000-10000人,汽车及零配件,6.5,1.8718021769015916
233,广州-天河区,无工作经验,大专,外资（非欧美）,150-500人,"金融/投资/证券,多元化业务集团公司",9.0,2.19722457733622
234,中山,无工作经验,本科,合资,500-1000人,"家具/家电/玩具/礼品,汽车及零配件",8.0,2.079441541679836
235,广州-天河区,无工作经验,本科,民营公司,500-1000人,"互联网/电子商务,租赁服务",11.0,2.3978952727983707
236,上海-闵行区,2年经验,大专,民营公司,少于50人,专业服务(咨询、人力资源、财会),8.0,2.079441541679836
237,广州-天河区,无工作经验,大专,外资（非欧美）,150-500人,"金融/投资/证券,互联网/电子商务",9.0,2.19722457733622
238,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
239,佛山,1年经验,本科,民营公司,150-500人,"通信/电信运营、增值服务,互联网/电子商务",5.0,1.6094379124341005
240,广州-天河区,无工作经验,本科,民营公司,500-1000人,"金融/投资/证券,互联网/电子商务",7.5,2.0149030205422647
241,乌鲁木齐,1年经验,大专,民营公司,150-500人,计算机软件,6.0,1.791759469228055
