省,市,现存确诊人数,确诊人数,疑似人数,治愈人数,死亡人数,更新时间
吉林省,-,25,93,0.0,67,1,2020/02/27 20:42:21
吉林省,长春,10,45,0.0,35,0,2020/02/27 20:42:21
吉林省,辽源,5,7,0.0,2,0,2020/02/27 20:42:21
吉林省,通化,4,6,0.0,2,0,2020/02/27 20:42:21
吉林省,四平市,3,15,0.0,11,1,2020/02/27 20:42:21
吉林省,公主岭,2,6,0.0,4,0,2020/02/27 20:42:21
吉林省,白城,1,1,0.0,0,0,2020/02/27 20:42:21
吉林省,吉林市,0,5,0.0,5,0,2020/02/27 20:42:21
吉林省,延边,0,5,0.0,5,0,2020/02/27 20:42:21
吉林省,松原,0,2,0.0,2,0,2020/02/27 20:42:21
吉林省,梅河口,0,1,0.0,1,0,2020/02/27 20:42:21
吉林省,-,27,93,0.0,65,1,2020/02/26 22:09:06
吉林省,长春,12,45,0.0,33,0,2020/02/26 22:09:06
吉林省,辽源,5,7,0.0,2,0,2020/02/26 22:09:06
吉林省,通化,4,6,0.0,2,0,2020/02/26 22:09:06
吉林省,四平市,3,15,0.0,11,1,2020/02/26 22:09:06
吉林省,公主岭,2,6,0.0,4,0,2020/02/26 22:09:06
吉林省,白城,1,1,0.0,0,0,2020/02/26 22:09:06
吉林省,吉林市,0,5,0.0,5,0,2020/02/26 22:09:06
吉林省,延边,0,5,0.0,5,0,2020/02/26 22:09:06
吉林省,松原,0,2,0.0,2,0,2020/02/26 22:09:06
吉林省,梅河口,0,1,0.0,1,0,2020/02/26 22:09:06
吉林省,-,29,93,0.0,63,1,2020/02/25 23:14:30
吉林省,长春,12,45,0.0,33,0,2020/02/25 23:14:30
吉林省,辽源,5,7,0.0,2,0,2020/02/25 23:14:30
吉林省,四平市,4,15,0.0,10,1,2020/02/25 23:14:30
吉林省,通化,4,6,0.0,2,0,2020/02/25 23:14:30
吉林省,公主岭,3,6,0.0,3,0,2020/02/25 23:14:30
吉林省,白城,1,1,0.0,0,0,2020/02/25 23:14:30
吉林省,吉林市,0,5,0.0,5,0,2020/02/25 23:14:30
吉林省,延边,0,5,0.0,5,0,2020/02/25 23:14:30
吉林省,松原,0,2,0.0,2,0,2020/02/25 23:14:30
吉林省,梅河口,0,1,0.0,1,0,2020/02/25 23:14:30
吉林省,-,30,93,0.0,62,1,2020/02/25 16:18:02
吉林省,长春,12,45,0.0,33,0,2020/02/25 16:18:02
吉林省,四平市,5,15,0.0,9,1,2020/02/25 16:18:02
吉林省,辽源,5,7,0.0,2,0,2020/02/25 16:18:02
吉林省,通化,4,6,0.0,2,0,2020/02/25 16:18:02
吉林省,公主岭,3,6,0.0,3,0,2020/02/25 16:18:02
吉林省,白城,1,1,0.0,0,0,2020/02/25 16:18:02
吉林省,吉林市,0,5,0.0,5,0,2020/02/25 16:18:02
吉林省,延边,0,5,0.0,5,0,2020/02/25 16:18:02
吉林省,松原,0,2,0.0,2,0,2020/02/25 16:18:02
吉林省,梅河口,0,1,0.0,1,0,2020/02/25 16:18:02
吉林省,-,31,93,0.0,61,1,2020/02/25 15:38:10
吉林省,长春,13,45,0.0,32,0,2020/02/25 15:38:10
吉林省,四平市,5,15,0.0,9,1,2020/02/25 15:38:10
吉林省,辽源,5,7,0.0,2,0,2020/02/25 15:38:10
吉林省,通化,4,6,0.0,2,0,2020/02/25 15:38:10
吉林省,公主岭,3,6,0.0,3,0,2020/02/25 15:38:10
吉林省,白城,1,1,0.0,0,0,2020/02/25 15:38:10
吉林省,吉林市,0,5,0.0,5,0,2020/02/25 15:38:10
吉林省,延边,0,5,0.0,5,0,2020/02/25 15:38:10
吉林省,松原,0,2,0.0,2,0,2020/02/25 15:38:10
吉林省,梅河口,0,1,0.0,1,0,2020/02/25 15:38:10
吉林省,-,32,93,0.0,60,1,2020/02/24 17:33:59
吉林省,长春,13,45,0.0,32,0,2020/02/24 17:33:59
吉林省,辽源,6,7,0.0,1,0,2020/02/24 17:33:59
吉林省,四平市,5,15,0.0,9,1,2020/02/24 17:33:59
吉林省,通化,4,6,0.0,2,0,2020/02/24 17:33:59
吉林省,公主岭,3,6,0.0,3,0,2020/02/24 17:33:59
吉林省,白城,1,1,0.0,0,0,2020/02/24 17:33:59
吉林省,吉林市,0,5,0.0,5,0,2020/02/24 17:33:59
吉林省,延边,0,5,0.0,5,0,2020/02/24 17:33:59
吉林省,松原,0,2,0.0,2,0,2020/02/24 17:33:59
吉林省,梅河口,0,1,0.0,1,0,2020/02/24 17:33:59
吉林省,-,37,93,0.0,55,1,2020/02/24 14:53:02
吉林省,长春,18,45,0.0,27,0,2020/02/24 14:53:02
吉林省,辽源,6,7,0.0,1,0,2020/02/24 14:53:02
吉林省,四平市,5,15,0.0,9,1,2020/02/24 14:53:02
吉林省,通化,4,6,0.0,2,0,2020/02/24 14:53:02
吉林省,公主岭,3,6,0.0,3,0,2020/02/24 14:53:02
吉林省,白城,1,1,0.0,0,0,2020/02/24 14:53:02
吉林省,吉林市,0,5,0.0,5,0,2020/02/24 14:53:02
吉林省,延边,0,5,0.0,5,0,2020/02/24 14:53:02
吉林省,松原,0,2,0.0,2,0,2020/02/24 14:53:02
吉林省,梅河口,0,1,0.0,1,0,2020/02/24 14:53:02
吉林省,-,38,93,0.0,54,1,2020/02/24 08:04:15
吉林省,长春,18,45,0.0,27,0,2020/02/24 08:04:15
吉林省,辽源,6,7,0.0,1,0,2020/02/24 08:04:15
吉林省,四平市,5,15,0.0,9,1,2020/02/24 08:04:15
吉林省,通化,4,6,0.0,2,0,2020/02/24 08:04:15
吉林省,公主岭,3,6,0.0,3,0,2020/02/24 08:04:15
吉林省,延边,1,5,0.0,4,0,2020/02/24 08:04:15
吉林省,白城,1,1,0.0,0,0,2020/02/24 08:04:15
吉林省,吉林市,0,5,0.0,5,0,2020/02/24 08:04:15
吉林省,松原,0,2,0.0,2,0,2020/02/24 08:04:15
吉林省,梅河口,0,1,0.0,1,0,2020/02/24 08:04:15
吉林省,-,36,91,0.0,54,1,2020/02/23 20:35:15
吉林省,长春,18,45,0.0,27,0,2020/02/23 20:35:15
吉林省,辽源,6,7,0.0,1,0,2020/02/23 20:35:15
吉林省,四平市,5,15,0.0,9,1,2020/02/23 20:35:15
吉林省,公主岭,3,6,0.0,3,0,2020/02/23 20:35:15
吉林省,通化,2,4,0.0,2,0,2020/02/23 20:35:15
吉林省,延边,1,5,0.0,4,0,2020/02/23 20:35:15
吉林省,白城,1,1,0.0,0,0,2020/02/23 20:35:15
吉林省,吉林市,0,5,0.0,5,0,2020/02/23 20:35:15
吉林省,松原,0,2,0.0,2,0,2020/02/23 20:35:15
吉林省,梅河口,0,1,0.0,1,0,2020/02/23 20:35:15
吉林省,-,37,91,0.0,53,1,2020/02/23 19:19:02
吉林省,长春,18,45,0.0,27,0,2020/02/23 19:19:02
吉林省,辽源,6,7,0.0,1,0,2020/02/23 19:19:02
吉林省,四平市,5,15,0.0,9,1,2020/02/23 19:19:02
吉林省,公主岭,3,6,0.0,3,0,2020/02/23 19:19:02
吉林省,通化,3,4,0.0,1,0,2020/02/23 19:19:02
吉林省,延边,1,5,0.0,4,0,2020/02/23 19:19:02
吉林省,白城,1,1,0.0,0,0,2020/02/23 19:19:02
吉林省,吉林市,0,5,0.0,5,0,2020/02/23 19:19:02
吉林省,松原,0,2,0.0,2,0,2020/02/23 19:19:02
吉林省,梅河口,0,1,0.0,1,0,2020/02/23 19:19:02
吉林省,-,37,91,0.0,53,1,2020/02/23 16:50:00
吉林省,长春,18,45,0.0,27,0,2020/02/23 16:50:00
吉林省,辽源,6,7,0.0,1,0,2020/02/23 16:50:00
吉林省,四平市,5,15,0.0,9,1,2020/02/23 16:50:00
吉林省,公主岭,3,6,0.0,3,0,2020/02/23 16:50:00
吉林省,通化,3,4,0.0,1,0,2020/02/23 16:50:00
吉林省,延边,1,5,0.0,4,0,2020/02/23 16:50:00
吉林省,白城,1,1,0.0,0,0,2020/02/23 16:50:00
吉林省,吉林市,0,5,0.0,5,0,2020/02/23 16:50:00
吉林省,松原,0,2,0.0,2,0,2020/02/23 16:50:00
吉林省,梅河口,0,1,0.0,1,0,2020/02/23 16:50:00
吉林省,-,38,91,0.0,52,1,2020/02/22 20:27:23
吉林省,长春,19,45,0.0,26,0,2020/02/22 20:27:23
吉林省,辽源,6,7,0.0,1,0,2020/02/22 20:27:23
吉林省,四平市,5,15,0.0,9,1,2020/02/22 20:27:23
吉林省,公主岭,3,6,0.0,3,0,2020/02/22 20:27:23
吉林省,通化,3,4,0.0,1,0,2020/02/22 20:27:23
吉林省,延边,1,5,0.0,4,0,2020/02/22 20:27:23
吉林省,白城,1,1,0.0,0,0,2020/02/22 20:27:23
吉林省,吉林市,0,5,0.0,5,0,2020/02/22 20:27:23
吉林省,松原,0,2,0.0,2,0,2020/02/22 20:27:23
吉林省,梅河口,0,1,0.0,1,0,2020/02/22 20:27:23
吉林省,-,39,91,0.0,51,1,2020/02/22 16:48:55
吉林省,长春,19,45,0.0,26,0,2020/02/22 16:48:55
吉林省,四平市,6,15,0.0,8,1,2020/02/22 16:48:55
吉林省,辽源,6,7,0.0,1,0,2020/02/22 16:48:55
吉林省,公主岭,3,6,0.0,3,0,2020/02/22 16:48:55
吉林省,通化,3,4,0.0,1,0,2020/02/22 16:48:55
吉林省,延边,1,5,0.0,4,0,2020/02/22 16:48:55
吉林省,白城,1,1,0.0,0,0,2020/02/22 16:48:55
吉林省,吉林市,0,5,0.0,5,0,2020/02/22 16:48:55
吉林省,松原,0,2,0.0,2,0,2020/02/22 16:48:55
吉林省,梅河口,0,1,0.0,1,0,2020/02/22 16:48:55
吉林省,-,43,91,0.0,47,1,2020/02/22 15:10:07
吉林省,长春,23,45,0.0,22,0,2020/02/22 15:10:07
吉林省,四平市,6,15,0.0,8,1,2020/02/22 15:10:07
吉林省,辽源,6,7,0.0,1,0,2020/02/22 15:10:07
吉林省,公主岭,3,6,0.0,3,0,2020/02/22 15:10:07
吉林省,通化,3,4,0.0,1,0,2020/02/22 15:10:07
吉林省,延边,1,5,0.0,4,0,2020/02/22 15:10:07
吉林省,白城,1,1,0.0,0,0,2020/02/22 15:10:07
吉林省,吉林市,0,5,0.0,5,0,2020/02/22 15:10:07
吉林省,松原,0,2,0.0,2,0,2020/02/22 15:10:07
吉林省,梅河口,0,1,0.0,1,0,2020/02/22 15:10:07
吉林省,-,44,91,0.0,46,1,2020/02/22 08:43:40
吉林省,长春,23,45,0.0,22,0,2020/02/22 08:43:40
吉林省,四平市,6,15,0.0,8,1,2020/02/22 08:43:40
吉林省,辽源,6,7,0.0,1,0,2020/02/22 08:43:40
吉林省,公主岭,3,6,0.0,3,0,2020/02/22 08:43:40
吉林省,通化,3,4,0.0,1,0,2020/02/22 08:43:40
吉林省,吉林市,1,5,0.0,4,0,2020/02/22 08:43:40
吉林省,延边,1,5,0.0,4,0,2020/02/22 08:43:40
吉林省,白城,1,1,0.0,0,0,2020/02/22 08:43:40
吉林省,松原,0,2,0.0,2,0,2020/02/22 08:43:40
吉林省,梅河口,0,1,0.0,1,0,2020/02/22 08:43:40
吉林省,-,45,91,0.0,45,1,2020/02/21 18:12:13
吉林省,长春,23,45,0.0,22,0,2020/02/21 18:12:13
吉林省,四平市,6,15,0.0,8,1,2020/02/21 18:12:13
吉林省,辽源,6,7,0.0,1,0,2020/02/21 18:12:13
吉林省,公主岭,4,6,0.0,2,0,2020/02/21 18:12:13
吉林省,通化,3,4,0.0,1,0,2020/02/21 18:12:13
吉林省,吉林市,1,5,0.0,4,0,2020/02/21 18:12:13
吉林省,延边,1,5,0.0,4,0,2020/02/21 18:12:13
吉林省,白城,1,1,0.0,0,0,2020/02/21 18:12:13
吉林省,松原,0,2,0.0,2,0,2020/02/21 18:12:13
吉林省,梅河口,0,1,0.0,1,0,2020/02/21 18:12:13
吉林省,-,46,91,0.0,44,1,2020/02/21 08:08:43
吉林省,长春,24,45,0.0,21,0,2020/02/21 08:08:43
吉林省,四平市,6,15,0.0,8,1,2020/02/21 08:08:43
吉林省,辽源,6,7,0.0,1,0,2020/02/21 08:08:43
吉林省,公主岭,4,6,0.0,2,0,2020/02/21 08:08:43
吉林省,通化,3,4,0.0,1,0,2020/02/21 08:08:43
吉林省,吉林市,1,5,0.0,4,0,2020/02/21 08:08:43
吉林省,延边,1,5,0.0,4,0,2020/02/21 08:08:43
吉林省,白城,1,1,0.0,0,0,2020/02/21 08:08:43
吉林省,松原,0,2,0.0,2,0,2020/02/21 08:08:43
吉林省,梅河口,0,1,0.0,1,0,2020/02/21 08:08:43
吉林省,-,47,91,0.0,43,1,2020/02/20 17:42:26
吉林省,长春,24,45,0.0,21,0,2020/02/20 17:42:26
吉林省,四平市,7,15,0.0,7,1,2020/02/20 17:42:26
吉林省,辽源,6,7,0.0,1,0,2020/02/20 17:42:26
吉林省,公主岭,4,6,0.0,2,0,2020/02/20 17:42:26
吉林省,通化,3,4,0.0,1,0,2020/02/20 17:42:26
吉林省,吉林市,1,5,0.0,4,0,2020/02/20 17:42:26
吉林省,延边,1,5,0.0,4,0,2020/02/20 17:42:26
吉林省,白城,1,1,0.0,0,0,2020/02/20 17:42:26
吉林省,松原,0,2,0.0,2,0,2020/02/20 17:42:26
吉林省,梅河口,0,1,0.0,1,0,2020/02/20 17:42:26
吉林省,-,50,91,0.0,40,1,2020/02/20 08:59:24
吉林省,长春,26,45,0.0,19,0,2020/02/20 08:59:24
吉林省,四平市,7,15,0.0,7,1,2020/02/20 08:59:24
吉林省,辽源,6,7,0.0,1,0,2020/02/20 08:59:24
吉林省,公主岭,4,6,0.0,2,0,2020/02/20 08:59:24
吉林省,通化,3,4,0.0,1,0,2020/02/20 08:59:24
吉林省,吉林市,2,5,0.0,3,0,2020/02/20 08:59:24
吉林省,延边,1,5,0.0,4,0,2020/02/20 08:59:24
吉林省,白城,1,1,0.0,0,0,2020/02/20 08:59:24
吉林省,松原,0,2,0.0,2,0,2020/02/20 08:59:24
吉林省,梅河口,0,1,0.0,1,0,2020/02/20 08:59:24
吉林省,-,52,90,0.0,37,1,2020/02/19 13:54:47
吉林省,长春,26,45,0.0,19,0,2020/02/19 13:54:47
吉林省,四平市,10,15,0.0,4,1,2020/02/19 13:54:47
吉林省,辽源,6,7,0.0,1,0,2020/02/19 13:54:47
吉林省,公主岭,4,6,0.0,2,0,2020/02/19 13:54:47
吉林省,吉林市,2,5,0.0,3,0,2020/02/19 13:54:47
吉林省,通化,2,3,0.0,1,0,2020/02/19 13:54:47
吉林省,延边,1,5,0.0,4,0,2020/02/19 13:54:47
吉林省,松原,1,2,0.0,1,0,2020/02/19 13:54:47
吉林省,白城,1,1,0.0,0,0,2020/02/19 13:54:47
吉林省,梅河口,0,1,0.0,1,0,2020/02/19 13:54:47
吉林省,-,53,90,0.0,36,1,2020/02/19 08:05:35
吉林省,长春,26,45,0.0,19,0,2020/02/19 08:05:35
吉林省,四平市,10,15,0.0,4,1,2020/02/19 08:05:35
吉林省,辽源,6,7,0.0,1,0,2020/02/19 08:05:35
吉林省,公主岭,4,6,0.0,2,0,2020/02/19 08:05:35
吉林省,吉林市,2,5,0.0,3,0,2020/02/19 08:05:35
吉林省,通化,2,3,0.0,1,0,2020/02/19 08:05:35
吉林省,延边,1,5,0.0,4,0,2020/02/19 08:05:35
吉林省,松原,1,2,0.0,1,0,2020/02/19 08:05:35
吉林省,白城,1,1,0.0,0,0,2020/02/19 08:05:35
吉林省,梅河口,0,1,0.0,1,0,2020/02/19 08:05:35
吉林省,-,52,89,0.0,36,1,2020/02/18 15:38:42
吉林省,长春,26,45,0.0,19,0,2020/02/18 15:38:42
吉林省,四平市,9,14,0.0,4,1,2020/02/18 15:38:42
吉林省,辽源,6,7,0.0,1,0,2020/02/18 15:38:42
吉林省,公主岭,4,6,0.0,2,0,2020/02/18 15:38:42
吉林省,吉林市,2,5,0.0,3,0,2020/02/18 15:38:42
吉林省,通化,2,3,0.0,1,0,2020/02/18 15:38:42
吉林省,延边,1,5,0.0,4,0,2020/02/18 15:38:42
吉林省,松原,1,2,0.0,1,0,2020/02/18 15:38:42
吉林省,白城,1,1,0.0,0,0,2020/02/18 15:38:42
吉林省,梅河口,0,1,0.0,1,0,2020/02/18 15:38:42
吉林省,-,54,89,0.0,34,1,2020/02/17 18:59:56
吉林省,长春,26,45,0.0,19,0,2020/02/17 18:59:56
吉林省,四平市,9,14,0.0,4,1,2020/02/17 18:59:56
吉林省,辽源,6,7,0.0,1,0,2020/02/17 18:59:56
吉林省,公主岭,4,6,0.0,2,0,2020/02/17 18:59:56
吉林省,延边,3,5,0.0,2,0,2020/02/17 18:59:56
吉林省,吉林市,2,5,0.0,3,0,2020/02/17 18:59:56
吉林省,通化,2,3,0.0,1,0,2020/02/17 18:59:56
吉林省,松原,1,2,0.0,1,0,2020/02/17 18:59:56
吉林省,白城,1,1,0.0,0,0,2020/02/17 18:59:56
吉林省,梅河口,0,1,0.0,1,0,2020/02/17 18:59:56
吉林省,-,55,89,0.0,33,1,2020/02/17 18:19:57
吉林省,长春,26,45,0.0,19,0,2020/02/17 18:19:57
吉林省,四平市,9,14,0.0,4,1,2020/02/17 18:19:57
吉林省,辽源,6,7,0.0,1,0,2020/02/17 18:19:57
吉林省,公主岭,4,6,0.0,2,0,2020/02/17 18:19:57
吉林省,延边,3,5,0.0,2,0,2020/02/17 18:19:57
吉林省,通化,3,3,0.0,0,0,2020/02/17 18:19:57
吉林省,吉林市,2,5,0.0,3,0,2020/02/17 18:19:57
吉林省,松原,1,2,0.0,1,0,2020/02/17 18:19:57
吉林省,白城,1,1,0.0,0,0,2020/02/17 18:19:57
吉林省,梅河口,0,1,0.0,1,0,2020/02/17 18:19:57
吉林省,-,58,89,0.0,30,1,2020/02/16 17:56:43
吉林省,长春,29,45,0.0,16,0,2020/02/16 17:56:43
吉林省,四平市,9,14,0.0,4,1,2020/02/16 17:56:43
吉林省,辽源,6,7,0.0,1,0,2020/02/16 17:56:43
吉林省,公主岭,4,6,0.0,2,0,2020/02/16 17:56:43
吉林省,延边,3,5,0.0,2,0,2020/02/16 17:56:43
吉林省,通化,3,3,0.0,0,0,2020/02/16 17:56:43
吉林省,吉林市,2,5,0.0,3,0,2020/02/16 17:56:43
吉林省,松原,1,2,0.0,1,0,2020/02/16 17:56:43
吉林省,白城,1,1,0.0,0,0,2020/02/16 17:56:43
吉林省,梅河口,0,1,0.0,1,0,2020/02/16 17:56:43
吉林省,-,60,89,0.0,28,1,2020/02/16 11:31:02
吉林省,长春,31,45,0.0,14,0,2020/02/16 11:31:02
吉林省,四平市,9,14,0.0,4,1,2020/02/16 11:31:02
吉林省,辽源,6,7,0.0,1,0,2020/02/16 11:31:02
吉林省,公主岭,4,6,0.0,2,0,2020/02/16 11:31:02
吉林省,延边,3,5,0.0,2,0,2020/02/16 11:31:02
吉林省,通化,3,3,0.0,0,0,2020/02/16 11:31:02
吉林省,吉林市,2,5,0.0,3,0,2020/02/16 11:31:02
吉林省,松原,1,2,0.0,1,0,2020/02/16 11:31:02
吉林省,白城,1,1,0.0,0,0,2020/02/16 11:31:02
吉林省,梅河口,0,1,0.0,1,0,2020/02/16 11:31:02
吉林省,-,61,88,0.0,26,1,2020/02/15 20:02:41
吉林省,长春,30,44,0.0,14,0,2020/02/15 20:02:41
吉林省,四平市,11,14,0.0,2,1,2020/02/15 20:02:41
吉林省,辽源,6,7,0.0,1,0,2020/02/15 20:02:41
吉林省,公主岭,4,6,0.0,2,0,2020/02/15 20:02:41
吉林省,延边,3,5,0.0,2,0,2020/02/15 20:02:41
吉林省,通化,3,3,0.0,0,0,2020/02/15 20:02:41
吉林省,吉林市,2,5,0.0,3,0,2020/02/15 20:02:41
吉林省,松原,1,2,0.0,1,0,2020/02/15 20:02:41
吉林省,白城,1,1,0.0,0,0,2020/02/15 20:02:41
吉林省,梅河口,0,1,0.0,1,0,2020/02/15 20:02:41
吉林省,-,62,88,0.0,25,1,2020/02/15 08:19:42
吉林省,长春,31,44,0.0,13,0,2020/02/15 08:19:42
吉林省,四平市,11,14,0.0,2,1,2020/02/15 08:19:42
吉林省,辽源,6,7,0.0,1,0,2020/02/15 08:19:42
吉林省,公主岭,4,6,0.0,2,0,2020/02/15 08:19:42
吉林省,延边,3,5,0.0,2,0,2020/02/15 08:19:42
吉林省,通化,3,3,0.0,0,0,2020/02/15 08:19:42
吉林省,吉林市,2,5,0.0,3,0,2020/02/15 08:19:42
吉林省,松原,1,2,0.0,1,0,2020/02/15 08:19:42
吉林省,白城,1,1,0.0,0,0,2020/02/15 08:19:42
吉林省,梅河口,0,1,0.0,1,0,2020/02/15 08:19:42
吉林省,-,60,86,0.0,25,1,2020/02/14 08:36:44
吉林省,长春,30,43,0.0,13,0,2020/02/14 08:36:44
吉林省,四平市,11,14,0.0,2,1,2020/02/14 08:36:44
吉林省,辽源,5,6,0.0,1,0,2020/02/14 08:36:44
吉林省,公主岭,4,6,0.0,2,0,2020/02/14 08:36:44
吉林省,延边,3,5,0.0,2,0,2020/02/14 08:36:44
吉林省,通化,3,3,0.0,0,0,2020/02/14 08:36:44
吉林省,吉林市,2,5,0.0,3,0,2020/02/14 08:36:44
吉林省,松原,1,2,0.0,1,0,2020/02/14 08:36:44
吉林省,白城,1,1,0.0,0,0,2020/02/14 08:36:44
吉林省,梅河口,0,1,0.0,1,0,2020/02/14 08:36:44
吉林省,-,59,84,0.0,24,1,2020/02/13 21:29:32
吉林省,长春,29,42,0.0,13,0,2020/02/13 21:29:32
吉林省,四平市,10,13,0.0,2,1,2020/02/13 21:29:32
吉林省,辽源,5,6,0.0,1,0,2020/02/13 21:29:32
吉林省,公主岭,4,6,0.0,2,0,2020/02/13 21:29:32
吉林省,延边,3,5,0.0,2,0,2020/02/13 21:29:32
吉林省,通化,3,3,0.0,0,0,2020/02/13 21:29:32
吉林省,吉林市,2,5,0.0,3,0,2020/02/13 21:29:32
吉林省,松原,1,2,0.0,1,0,2020/02/13 21:29:32
吉林省,梅河口,1,1,0.0,0,0,2020/02/13 21:29:32
吉林省,白城,1,1,0.0,0,0,2020/02/13 21:29:32
吉林省,-,61,84,0.0,22,1,2020/02/13 20:39:00
吉林省,长春,31,42,0.0,11,0,2020/02/13 20:39:00
吉林省,四平市,10,13,0.0,2,1,2020/02/13 20:39:00
吉林省,辽源,5,6,0.0,1,0,2020/02/13 20:39:00
吉林省,公主岭,4,6,0.0,2,0,2020/02/13 20:39:00
吉林省,延边,3,5,0.0,2,0,2020/02/13 20:39:00
吉林省,通化,3,3,0.0,0,0,2020/02/13 20:39:00
吉林省,吉林市,2,5,0.0,3,0,2020/02/13 20:39:00
吉林省,松原,1,2,0.0,1,0,2020/02/13 20:39:00
吉林省,梅河口,1,1,0.0,0,0,2020/02/13 20:39:00
吉林省,白城,1,1,0.0,0,0,2020/02/13 20:39:00
吉林省,-,61,84,0.0,22,1,2020/02/13 08:20:12
吉林省,长春,31,42,0.0,11,0,2020/02/13 08:20:12
吉林省,四平市,10,13,0.0,2,1,2020/02/13 08:20:12
吉林省,公主岭,4,6,0.0,2,0,2020/02/13 08:20:12
吉林省,辽源,5,6,0.0,1,0,2020/02/13 08:20:12
吉林省,吉林市,2,5,0.0,3,0,2020/02/13 08:20:12
吉林省,延边,3,5,0.0,2,0,2020/02/13 08:20:12
吉林省,通化,3,3,0.0,0,0,2020/02/13 08:20:12
吉林省,松原,1,2,0.0,1,0,2020/02/13 08:20:12
吉林省,梅河口,1,1,0.0,0,0,2020/02/13 08:20:12
吉林省,白城,1,1,0.0,0,0,2020/02/13 08:20:12
吉林省,-,60,83,0.0,22,1,2020/02/13 00:19:12
吉林省,长春,31,42,0.0,11,0,2020/02/13 00:19:12
吉林省,四平市,9,12,0.0,2,1,2020/02/13 00:19:12
吉林省,公主岭,4,6,0.0,2,0,2020/02/13 00:19:12
吉林省,辽源,5,6,0.0,1,0,2020/02/13 00:19:12
吉林省,吉林市,2,5,0.0,3,0,2020/02/13 00:19:12
